          81      1.50000
      9.87170      328.160  0.000103230
      7.83810      305.630  0.000788835
      6.21920      284.530   0.00398167
      4.94570      264.740    0.0142279
      3.92890      246.160    0.0393306
      3.11940      228.710    0.0883673
      2.47780      212.310     0.167855
      1.97430      196.900     0.277717
      1.55970      182.410     0.420398
      1.23400      168.830     0.582251
     0.987170      156.100     0.745260
     0.783810      144.210     0.913326
     0.621920      133.410      1.07383
     0.494570      124.300      1.21967
     0.392890      117.860      1.35021
     0.311940      113.890      1.46405
     0.247780      110.750      1.56106
     0.197430      108.250      1.64168
     0.155970      106.260      1.71117
     0.123400      104.680      1.76782
    0.0987170      103.400      1.81200
    0.0783810      104.500      1.84922
    0.0621920      107.300      1.87940
    0.0494570      110.100      1.90349
    0.0392890      113.500      1.92295
    0.0311940      117.000      1.93858
    0.0247780      120.500      1.95105
    0.0197430      125.000      1.96090
    0.0155970      128.500      1.96905
    0.0123400      132.400      1.97547
   0.00987170      136.000      1.98035
   0.00783810      139.800      1.98439
   0.00621920      143.400      1.98760
   0.00494570      146.200      1.99013
   0.00392890      148.400      1.99216
   0.00311940      150.300      1.99377
   0.00247780      151.800      1.99505
   0.00197430      153.000      1.99606
   0.00155970      154.100      1.99688
   0.00123400      155.100      1.99753
  0.000987170      156.000      1.99803
  0.000783810      156.830      1.99843
  0.000621920      157.660      1.99876
  0.000494570      158.490      1.99901
  0.000392890      159.320      1.99921
  0.000311940      160.150      1.99938
  0.000247780      160.980      1.99950
  0.000197430      161.810      1.99961
  0.000155970      162.640      1.99969
  0.000123400      163.470      1.99975
  9.87170e-05      164.300      1.99980
  7.83810e-05      165.140      1.99984
  6.21920e-05      165.980      1.99988
  4.94570e-05      166.820      1.99990
  3.92890e-05      167.660      1.99992
  3.11940e-05      168.500      1.99994
  2.47780e-05      169.340      1.99995
  1.97430e-05      170.180      1.99996
  1.55970e-05      171.020      1.99997
  1.23400e-05      171.860      1.99998
  9.87170e-06      172.700      1.99998
  7.83810e-06      173.530      1.99998
  6.21920e-06      174.360      1.99999
  4.94570e-06      175.190      1.99999
  3.92890e-06      176.020      1.99999
  3.11940e-06      176.850      1.99999
  2.47780e-06      177.680      1.99999
  1.97430e-06      178.510      2.00000
  1.55970e-06      179.340      2.00000
  1.23400e-06      180.170      2.00000
  9.87170e-07      181.000      2.00000
  7.83810e-07      185.000      2.00000
  6.21920e-07      189.000      2.00000
  4.94570e-07      193.000      2.00000
  3.92890e-07      197.000      2.00000
  3.11940e-07      201.000      2.00000
  2.47780e-07      208.130      2.00000
  1.97430e-07      215.270      2.00000
  1.55970e-07      222.400      2.00000
  1.23400e-07      229.530      2.00000
  9.87170e-08      236.670      2.00000
