# 6000K star for WFIRST tests
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
695500.0
     0.200000  4.38635e+25
     0.210000  6.08468e+25
     0.220000  8.10495e+25
     0.230000  1.04266e+26
     0.240000  1.30164e+26
     0.250000  1.58311e+26
     0.260000  1.88215e+26
     0.270000  2.19353e+26
     0.280000  2.51198e+26
     0.290000  2.83244e+26
     0.300000  3.15022e+26
     0.310000  3.46113e+26
     0.320000  3.76150e+26
     0.330000  4.04828e+26
     0.340000  4.31898e+26
     0.350000  4.57169e+26
     0.360000  4.80500e+26
     0.370000  5.01799e+26
     0.380000  5.21015e+26
     0.390000  5.38133e+26
     0.400000  5.53168e+26
     0.410000  5.66161e+26
     0.420000  5.77175e+26
     0.430000  5.86285e+26
     0.440000  5.93582e+26
     0.450000  5.99163e+26
     0.460000  6.03133e+26
0.465000	 6.041181e+26
     0.470000  6.05597e+26
     0.480000  6.06666e+26
     0.490000  6.06446e+26
     0.500000  6.05044e+26
     0.510000  6.02563e+26
     0.520000  5.99102e+26
     0.530000  5.94757e+26
     0.540000  5.89619e+26
     0.550000  5.83773e+26
     0.560000  5.77299e+26
0.565000	 5.737795e+26
     0.570000  5.70273e+26
     0.580000  5.62765e+26
     0.590000  5.54839e+26
0.600000	 5.465745e+26
0.608571	 5.392525e+26
0.617265	 5.316313e+26
0.626083	 5.237333e+26
0.635027	 5.155804e+26
0.644099	 5.071942e+26
0.653301	 4.985958e+26
0.661000	 4.913499e+26
0.662634	 4.898075e+26
0.672100	 4.808499e+26
0.681701	 4.717435e+26
0.691440	 4.625071e+26
0.701317	 4.531621e+26
0.711336	 4.437256e+26
0.721000	 4.346811e+26
0.721498	 4.342169e+26
0.731805	 4.246536e+26
0.742260	 4.150519e+26
0.752863	 4.054303e+26
0.763619	 3.958018e+26
0.774527	 3.861842e+26
0.785592	 3.765892e+26
0.796815	 3.670316e+26
0.808198	 3.575243e+26
0.819744	 3.480788e+26
0.831454	 3.387076e+26
0.843332	 3.294199e+26
0.855380	 3.202261e+26
0.867599	 3.111364e+26
0.879994	 3.021575e+26
0.883000	 3.000166e+26
0.905316	 2.845670e+26
0.918249	 2.759685e+26
0.931367	 2.675092e+26
0.958167	 2.510296e+26
     0.960000  2.49709e+26
     0.970000  2.43858e+26
     0.980000  2.38149e+26
     0.990000  2.32581e+26
      1.00000  2.27149e+26
      1.01000  2.21852e+26
      1.02000  2.16688e+26
      1.03000  2.11652e+26
      1.04000  2.06743e+26
      1.05000  2.01958e+26
      1.06000  1.97294e+26
      1.07000  1.92748e+26
      1.08000  1.88317e+26
      1.09000  1.83999e+26
      1.10000  1.79792e+26
      1.11000  1.75691e+26
      1.12000  1.71695e+26
      1.13000  1.67802e+26
      1.14000  1.64007e+26
      1.15000  1.60310e+26
