# Data taken from Menang et al. (2013), which has been normalised to Thuillier. Smoothed to 0.0003 microns and interpolated to Neptune wavelengths. Gaussian.
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
      1.48989  8.65998e+25
      1.49010  8.46362e+25
      1.49031  8.57746e+25
      1.49053  8.71067e+25
      1.49074  8.58349e+25
      1.49095  8.67351e+25
      1.49116  8.77498e+25
      1.49138  8.61492e+25
      1.49159  8.37193e+25
      1.49180  8.52398e+25
      1.49201  8.44096e+25
      1.49223  8.54603e+25
      1.49244  8.76944e+25
      1.49265  8.81233e+25
      1.49286  8.77301e+25
      1.49307  8.72641e+25
      1.49329  8.73785e+25
      1.49350  8.74486e+25
      1.49371  8.70544e+25
      1.49392  8.66753e+25
      1.49414  8.50575e+25
      1.49435  8.57477e+25
      1.49456  8.70685e+25
      1.49477  8.69055e+25
      1.49498  8.71433e+25
      1.49520  8.66146e+25
      1.49541  8.68671e+25
      1.49562  8.60516e+25
      1.49583  8.30852e+25
      1.49605  8.05317e+25
      1.49626  8.42929e+25
      1.49647  8.29438e+25
      1.49668  8.59147e+25
      1.49690  8.69955e+25
      1.49711  8.57406e+25
      1.49732  8.48780e+25
      1.49753  8.61440e+25
      1.49774  8.61796e+25
      1.49796  8.66081e+25
      1.49817  8.60414e+25
      1.49838  8.47516e+25
      1.49859  8.51853e+25
      1.49881  8.53122e+25
      1.49902  8.62928e+25
      1.49923  8.58172e+25
      1.49944  8.61010e+25
      1.49965  8.66469e+25
      1.49987  8.65932e+25
      1.50008  8.62292e+25
      1.50029  8.59921e+25
      1.50050  8.62987e+25
      1.50072  8.59846e+25
      1.50093  8.56718e+25
      1.50114  8.55768e+25
      1.50135  8.58014e+25
      1.50156  8.53710e+25
      1.50178  8.38723e+25
      1.50199  8.38483e+25
      1.50220  8.27789e+25
      1.50241  8.28420e+25
      1.50263  7.67861e+25
      1.50284  6.28132e+25
      1.50305  6.74073e+25
      1.50326  7.95436e+25
      1.50348  8.28927e+25
      1.50369  8.40249e+25
      1.50390  8.35610e+25
      1.50411  8.08069e+25
      1.50432  6.89098e+25
      1.50454  6.65063e+25
      1.50475  7.68236e+25
      1.50496  7.77170e+25
      1.50517  6.95042e+25
      1.50539  7.63365e+25
      1.50560  7.66997e+25
      1.50581  8.22650e+25
      1.50602  8.48457e+25
      1.50623  8.50646e+25
      1.50645  8.51457e+25
      1.50666  8.50188e+25
      1.50687  8.51471e+25
      1.50708  8.47755e+25
      1.50730  8.48970e+25
      1.50751  8.51574e+25
      1.50772  8.51211e+25
      1.50793  8.45454e+25
      1.50814  8.28098e+25
      1.50836  8.42621e+25
      1.50857  8.44645e+25
      1.50878  8.04194e+25
      1.50899  8.23803e+25
      1.50921  8.45180e+25
      1.50942  8.44709e+25
      1.50963  8.39524e+25
      1.50984  7.99400e+25
      1.51006  8.07264e+25
      1.51027  8.38284e+25
      1.51048  8.45154e+25
      1.51069  8.47000e+25
      1.51090  8.45188e+25
      1.51112  8.43409e+25
      1.51133  8.47452e+25
      1.51154  8.43434e+25
      1.51175  8.43129e+25
      1.51197  8.41516e+25
      1.51218  8.35147e+25
      1.51239  8.31201e+25
      1.51260  8.13514e+25
      1.51281  8.31199e+25
      1.51303  8.44685e+25
      1.51324  8.44304e+25
      1.51345  8.42985e+25
      1.51366  8.39270e+25
      1.51388  8.19593e+25
      1.51409  8.11768e+25
      1.51430  8.35349e+25
      1.51451  8.41569e+25
      1.51472  8.22927e+25
      1.51494  8.26267e+25
      1.51515  8.40384e+25
      1.51536  8.41521e+25
      1.51557  8.40752e+25
      1.51579  8.39819e+25
      1.51600  8.39502e+25
      1.51621  8.17534e+25
      1.51642  7.97713e+25
      1.51664  8.12900e+25
      1.51685  8.23958e+25
      1.51706  8.32194e+25
      1.51727  8.20850e+25
      1.51748  8.31820e+25
      1.51770  8.35101e+25
      1.51791  8.32560e+25
      1.51812  8.14726e+25
      1.51833  8.15240e+25
      1.51855  8.31093e+25
      1.51876  8.29374e+25
      1.51897  8.33765e+25
      1.51918  8.36277e+25
      1.51939  8.35428e+25
      1.51961  8.33697e+25
      1.51982  8.30840e+25
      1.52003  8.28795e+25
      1.52024  8.20706e+25
      1.52046  8.13846e+25
      1.52067  8.23233e+25
      1.52088  8.22996e+25
      1.52109  7.75828e+25
      1.52130  7.90396e+25
      1.52152  8.25173e+25
      1.52173  8.22628e+25
      1.52194  8.21091e+25
      1.52215  7.88151e+25
      1.52237  7.68265e+25
      1.52258  8.08914e+25
      1.52279  8.12234e+25
      1.52300  8.14106e+25
      1.52322  8.21956e+25
      1.52343  8.19028e+25
      1.52364  8.15971e+25
      1.52385  8.22320e+25
      1.52406  8.24901e+25
      1.52428  8.13631e+25
      1.52449  8.12214e+25
      1.52470  8.04007e+25
      1.52491  7.72574e+25
      1.52513  8.09986e+25
      1.52534  8.24849e+25
      1.52555  8.22289e+25
      1.52576  8.20622e+25
      1.52597  8.24945e+25
      1.52619  8.25333e+25
      1.52640  8.16421e+25
      1.52661  7.99554e+25
      1.52682  8.09911e+25
      1.52704  8.22128e+25
      1.52725  8.23174e+25
      1.52746  8.24021e+25
      1.52767  8.23528e+25
      1.52788  8.23723e+25
      1.52810  8.22461e+25
      1.52831  8.23435e+25
      1.52852  8.22985e+25
      1.52873  8.17524e+25
      1.52895  8.16022e+25
      1.52916  8.17649e+25
      1.52937  8.06747e+25
      1.52958  7.84642e+25
