# Data taken from Menang et al. (2013), which has been normalised to Thuillier. Smoothed to 0.0003 microns and interpolated to Uranus wavelengths. Gaussian.
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
      1.48996  8.60047e+25
      1.49012  8.45372e+25
      1.49028  8.54249e+25
      1.49044  8.69293e+25
      1.49060  8.68456e+25
      1.49076  8.57528e+25
      1.49092  8.64604e+25
      1.49109  8.76165e+25
      1.49125  8.75799e+25
      1.49141  8.56182e+25
      1.49157  8.36885e+25
      1.49173  8.48938e+25
      1.49189  8.50495e+25
      1.49205  8.43142e+25
      1.49221  8.52201e+25
      1.49237  8.71549e+25
      1.49253  8.80349e+25
      1.49269  8.80976e+25
      1.49285  8.77620e+25
      1.49301  8.73169e+25
      1.49317  8.72795e+25
      1.49333  8.74295e+25
      1.49349  8.74632e+25
      1.49365  8.71460e+25
      1.49381  8.69337e+25
      1.49397  8.64398e+25
      1.49414  8.50575e+25
      1.49430  8.52034e+25
      1.49446  8.68131e+25
      1.49462  8.69763e+25
      1.49478  8.69273e+25
      1.49494  8.72136e+25
      1.49510  8.67360e+25
      1.49526  8.66678e+25
      1.49542  8.68725e+25
      1.49558  8.63830e+25
      1.49574  8.46465e+25
      1.49590  8.15992e+25
      1.49606  8.06685e+25
      1.49622  8.39718e+25
      1.49638  8.34909e+25
      1.49654  8.35245e+25
      1.49670  8.61725e+25
      1.49686  8.69971e+25
      1.49703  8.65077e+25
      1.49719  8.49315e+25
      1.49735  8.51013e+25
      1.49751  8.61112e+25
      1.49767  8.61314e+25
      1.49783  8.63480e+25
      1.49799  8.66291e+25
      1.49815  8.61734e+25
      1.49831  8.49978e+25
      1.49847  8.48886e+25
      1.49863  8.51910e+25
      1.49879  8.52496e+25
      1.49895  8.60167e+25
      1.49911  8.62837e+25
      1.49927  8.57121e+25
      1.49943  8.60573e+25
      1.49959  8.65796e+25
      1.49975  8.66629e+25
      1.49991  8.65467e+25
      1.50008  8.62292e+25
      1.50024  8.59788e+25
      1.50040  8.61679e+25
      1.50056  8.62866e+25
      1.50072  8.59846e+25
      1.50088  8.57016e+25
      1.50104  8.56200e+25
      1.50120  8.56106e+25
      1.50136  8.58052e+25
      1.50152  8.55363e+25
      1.50168  8.45753e+25
      1.50184  8.37292e+25
      1.50200  8.38223e+25
      1.50216  8.28689e+25
      1.50232  8.30564e+25
      1.50248  8.19161e+25
      1.50264  7.62481e+25
      1.50280  6.51818e+25
      1.50296  6.20122e+25
      1.50313  7.31815e+25
      1.50329  8.03981e+25
      1.50345  8.26778e+25
      1.50361  8.36875e+25
      1.50377  8.40953e+25
      1.50393  8.33508e+25
      1.50409  8.13122e+25
      1.50425  7.39729e+25
      1.50441  6.41785e+25
      1.50457  6.81953e+25
      1.50473  7.61964e+25
      1.50489  7.88385e+25
      1.50505  7.38609e+25
      1.50521  6.97079e+25
      1.50537  7.58004e+25
      1.50553  7.65786e+25
      1.50569  7.87281e+25
      1.50585  8.30995e+25
      1.50601  8.47992e+25
      1.50618  8.50824e+25
      1.50634  8.50745e+25
      1.50650  8.51460e+25
      1.50666  8.50188e+25
      1.50682  8.51202e+25
      1.50698  8.50140e+25
      1.50714  8.47119e+25
      1.50730  8.48970e+25
      1.50746  8.51202e+25
      1.50762  8.51616e+25
      1.50778  8.50890e+25
      1.50794  8.44634e+25
      1.50810  8.29267e+25
      1.50826  8.34940e+25
      1.50842  8.45289e+25
      1.50858  8.43872e+25
      1.50874  8.12821e+25
      1.50890  8.03467e+25
      1.50906  8.37668e+25
      1.50923  8.44941e+25
      1.50939  8.44428e+25
      1.50955  8.44074e+25
      1.50971  8.28451e+25
      1.50987  7.94108e+25
      1.51003  8.00988e+25
      1.51019  8.31150e+25
      1.51035  8.41921e+25
      1.51051  8.45606e+25
      1.51067  8.46922e+25
      1.51083  8.46511e+25
      1.51099  8.43151e+25
      1.51115  8.44119e+25
      1.51131  8.47391e+25
      1.51147  8.45343e+25
      1.51163  8.42025e+25
      1.51179  8.43671e+25
      1.51195  8.42148e+25
      1.51211  8.36723e+25
      1.51228  8.33967e+25
      1.51244  8.28064e+25
      1.51260  8.13514e+25
      1.51276  8.23919e+25
      1.51292  8.41904e+25
      1.51308  8.44835e+25
      1.51324  8.44304e+25
      1.51340  8.43417e+25
      1.51356  8.41569e+25
      1.51372  8.36499e+25
      1.51388  8.19593e+25
      1.51404  8.08616e+25
      1.51420  8.24863e+25
      1.51436  8.39332e+25
      1.51452  8.41264e+25
      1.51468  8.27514e+25
      1.51484  8.17887e+25
      1.51500  8.32509e+25
      1.51516  8.40562e+25
      1.51533  8.41564e+25
      1.51549  8.40968e+25
      1.51565  8.40485e+25
      1.51581  8.39837e+25
      1.51597  8.40079e+25
      1.51613  8.30112e+25
      1.51629  8.03893e+25
      1.51645  7.99778e+25
      1.51661  8.12114e+25
      1.51677  8.17303e+25
      1.51693  8.30412e+25
      1.51709  8.30734e+25
      1.51725  8.21022e+25
      1.51741  8.27631e+25
      1.51757  8.34643e+25
      1.51773  8.35002e+25
      1.51789  8.33285e+25
      1.51805  8.21821e+25
      1.51822  8.09353e+25
      1.51838  8.20473e+25
      1.51854  8.31000e+25
      1.51870  8.29285e+25
      1.51886  8.31309e+25
      1.51902  8.34717e+25
      1.51918  8.36277e+25
      1.51934  8.35717e+25
      1.51950  8.34621e+25
      1.51966  8.33248e+25
      1.51982  8.30840e+25
      1.51998  8.29132e+25
      1.52014  8.26146e+25
      1.52030  8.17078e+25
      1.52046  8.13846e+25
      1.52062  8.20674e+25
      1.52078  8.26546e+25
      1.52094  8.14861e+25
      1.52110  7.73551e+25
