# Data taken from Menang et al. (2013), which has been normalised to Thuillier. Smoothed to 0.0003 microns. Gaussian.
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
       1.4500004   9.1724286e+25
       1.4500036   9.1680143e+25
       1.4500067   9.1635954e+25
       1.4500099   9.1591811e+25
       1.4500131   9.1547649e+25
       1.4500163   9.1503598e+25
       1.4500194   9.1459695e+25
       1.4500226   9.1415856e+25
       1.4500258   9.1372267e+25
       1.4500289   9.1328871e+25
       1.4500321   9.1285678e+25
       1.4500353   9.1242678e+25
       1.4500384   9.1200094e+25
       1.4500416   9.1157777e+25
       1.4500448   9.1115838e+25
       1.4500479   9.1074490e+25
       1.4500511   9.1033335e+25
       1.4500543   9.0992734e+25
       1.4500574   9.0952705e+25
       1.4500606   9.0913136e+25
       1.4500638   9.0874241e+25
       1.4500669   9.0835983e+25
       1.4500701   9.0798407e+25
       1.4500733   9.0761513e+25
       1.4500764   9.0725478e+25
       1.4500796   9.0690088e+25
       1.4500828   9.0655565e+25
       1.4500859   9.0621918e+25
       1.4500891   9.0589212e+25
       1.4500923   9.0557437e+25
       1.4500955   9.0526696e+25
       1.4500986   9.0496895e+25
       1.4501018   9.0468229e+25
       1.4501050   9.0440605e+25
       1.4501081   9.0414152e+25
       1.4501113   9.0388834e+25
       1.4501145   9.0364733e+25
       1.4501176   9.0341850e+25
       1.4501208   9.0320276e+25
       1.4501240   9.0299976e+25
       1.4501271   9.0280920e+25
       1.4501303   9.0263304e+25
       1.4501335   9.0247089e+25
       1.4501366   9.0232249e+25
       1.4501398   9.0218773e+25
       1.4501430   9.0206783e+25
       1.4501461   9.0196259e+25
       1.4501493   9.0187156e+25
       1.4501525   9.0179639e+25
       1.4501556   9.0173523e+25
       1.4501588   9.0168930e+25
       1.4501620   9.0165951e+25
       1.4501652   9.0164402e+25
       1.4501683   9.0164420e+25
       1.4501715   9.0165896e+25
       1.4501747   9.0169004e+25
       1.4501778   9.0173551e+25
       1.4501810   9.0179583e+25
       1.4501842   9.0187165e+25
       1.4501873   9.0196148e+25
       1.4501905   9.0206626e+25
       1.4501937   9.0218487e+25
       1.4501968   9.0231898e+25
       1.4502000   9.0246628e+25
       1.4502032   9.0262723e+25
       1.4502063   9.0280164e+25
       1.4502095   9.0298980e+25
       1.4502127   9.0319050e+25
       1.4502158   9.0340383e+25
