# Data taken from Menang et al. (2013), which has been normalised to Thuillier. Smoothed to 0.0003 microns. Square.
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
       1.4500004   9.4217806e+25
       1.4500036   9.4142792e+25
       1.4500067   9.4021856e+25
       1.4500099   9.3838034e+25
       1.4500131   9.3576413e+25
       1.4500163   9.3231781e+25
       1.4500194   9.2808687e+25
       1.4500226   9.2320522e+25
       1.4500258   9.1788739e+25
       1.4500289   9.1242143e+25
       1.4500321   9.0715655e+25
       1.4500353   9.0240623e+25
       1.4500384   8.9838235e+25
       1.4500416   8.9520131e+25
       1.4500448   8.9289214e+25
       1.4500479   8.9140303e+25
       1.4500511   8.9060779e+25
       1.4500543   8.9032666e+25
       1.4500574   8.9039657e+25
       1.4500606   8.9068831e+25
       1.4500638   8.9110382e+25
       1.4500669   8.9157421e+25
       1.4500701   8.9205761e+25
       1.4500733   8.9253695e+25
       1.4500764   8.9301075e+25
       1.4500796   8.9347921e+25
       1.4500828   8.9394351e+25
       1.4500859   8.9440560e+25
       1.4500891   8.9486797e+25
       1.4500923   8.9533385e+25
       1.4500955   8.9580700e+25
       1.4500986   8.9629040e+25
       1.4501018   8.9678570e+25
       1.4501050   8.9729317e+25
       1.4501081   8.9781207e+25
       1.4501113   8.9834030e+25
       1.4501145   8.9887488e+25
       1.4501176   8.9941205e+25
       1.4501208   8.9994848e+25
       1.4501240   9.0048159e+25
       1.4501271   9.0100917e+25
       1.4501303   9.0152983e+25
       1.4501335   9.0204274e+25
       1.4501366   9.0254532e+25
       1.4501398   9.0303702e+25
       1.4501430   9.0351802e+25
       1.4501461   9.0398878e+25
       1.4501493   9.0444958e+25
       1.4501525   9.0444460e+25
       1.4501556   9.0443953e+25
       1.4501588   9.0443455e+25
       1.4501620   9.0442966e+25
       1.4501652   9.0442459e+25
       1.4501683   9.0441951e+25
       1.4501715   9.0441167e+25
       1.4501747   9.0439747e+25
       1.4501778   9.0437506e+25
       1.4501810   9.0434296e+25
       1.4501842   9.0430062e+25
       1.4501873   9.0424934e+25
       1.4501905   9.0419151e+25
       1.4501937   9.0413110e+25
       1.4501968   9.0407327e+25
       1.4502000   9.0402503e+25
       1.4502032   9.0399146e+25
       1.4502063   9.0397448e+25
       1.4502095   9.0396960e+25
       1.4502127   9.0396452e+25
       1.4502158   9.0395954e+25
       1.4502190   9.0394654e+25
       1.4502222   9.0390125e+25
       1.4502254   9.0381474e+25
       1.4502285   9.0368072e+25
       1.4502317   9.0349847e+25
       1.4502349   9.0327286e+25
       1.4502380   9.0301424e+25
       1.4502412   9.0273837e+25
       1.4502444   9.0246342e+25
       1.4502475   9.0220203e+25
       1.4502507   9.0196047e+25
       1.4502539   9.0173809e+25
       1.4502570   9.0152706e+25
       1.4502602   9.0131262e+25
       1.4502634   9.0107300e+25
       1.4502665   9.0078772e+25
       1.4502697   9.0044249e+25
       1.4502729   9.0003140e+25
       1.4502761   8.9955723e+25
       1.4502792   8.9903168e+25
       1.4502824   8.9847542e+25
       1.4502856   8.9791620e+25
       1.4502887   8.9737996e+25
       1.4502919   8.9688983e+25
       1.4502951   8.9647727e+25
       1.4502982   8.9618572e+25
       1.4503014   8.9607107e+25
       1.4503046   8.9620084e+25
       1.4503077   8.9665694e+25
       1.4503109   8.9753703e+25
       1.4503141   8.9893382e+25
       1.4503173   9.0089093e+25
       1.4503204   9.0339775e+25
       1.4503236   9.0638990e+25
       1.4503268   9.0974841e+25
       1.4503299   9.1330310e+25
       1.4503331   9.1683786e+25
       1.4503363   9.2014721e+25
       1.4503394   9.2307996e+25
       1.4503426   9.2554076e+25
       1.4503458   9.2748984e+25
       1.4503489   9.2894160e+25
       1.4503521   9.2995995e+25
       1.4503553   9.3064654e+25
       1.4503584   9.3109470e+25
       1.4503616   9.3137703e+25
       1.4503648   9.3154490e+25
       1.4503680   9.3162864e+25
       1.4503711   9.3164174e+25
       1.4503743   9.3158594e+25
       1.4503775   9.3145737e+25
       1.4503806   9.3125639e+25
       1.4503838   9.3098817e+25
       1.4503870   9.3066277e+25
       1.4503901   9.3029448e+25
       1.4503933   9.2989686e+25
       1.4503965   9.2948144e+25
       1.4503997   9.2905744e+25
       1.4504028   9.2863299e+25
       1.4504060   9.2821517e+25
       1.4504092   9.2780989e+25
       1.4504123   9.2742150e+25
       1.4504155   9.2705311e+25
       1.4504187   9.2670567e+25
       1.4504218   9.2637741e+25
       1.4504250   9.2606317e+25
       1.4504282   9.2575492e+25
       1.4504313   9.2544151e+25
       1.4504345   9.2511123e+25
       1.4504377   9.2475631e+25
       1.4504409   9.2437013e+25
       1.4504440   9.2394770e+25
       1.4504472   9.2348671e+25
       1.4504504   9.2298736e+25
       1.4504535   9.2245268e+25
       1.4504567   9.2188812e+25
       1.4504599   9.2130216e+25
       1.4504630   9.2070577e+25
       1.4504662   9.2011308e+25
       1.4504694   9.1954031e+25
       1.4504726   9.1901006e+25
       1.4504757   9.1854492e+25
       1.4504789   9.1816058e+25
       1.4504821   9.1786608e+25
       1.4504852   9.1766298e+25
       1.4504884   9.1754483e+25
       1.4504916   9.1749770e+25
       1.4504947   9.1750001e+25
       1.4504979   9.1752749e+25
       1.4505011   9.1755802e+25
       1.4505042   9.1757342e+25
       1.4505074   9.1756236e+25
