# Data taken from Menang et al. (2013), which has been normalised to Thuillier. Smoothed to 0.0003 microns. Triangular.
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
       1.4500004   9.1326878e+25
       1.4500036   9.1307851e+25
       1.4500067   9.1288850e+25
       1.4500099   9.1269777e+25
       1.4500131   9.1250407e+25
       1.4500163   9.1231370e+25
       1.4500194   9.1212130e+25
       1.4500226   9.1192918e+25
       1.4500258   9.1173586e+25
       1.4500289   9.1153876e+25
       1.4500321   9.1134617e+25
       1.4500353   9.1114870e+25
       1.4500384   9.1094781e+25
       1.4500416   9.1074813e+25
       1.4500448   9.1054743e+25
       1.4500479   9.1034341e+25
       1.4500511   9.1013579e+25
       1.4500543   9.0992826e+25
       1.4500574   9.0972129e+25
       1.4500606   9.0951192e+25
       1.4500638   9.0929877e+25
       1.4500669   9.0908645e+25
       1.4500701   9.0887532e+25
       1.4500733   9.0865821e+25
       1.4500764   9.0844007e+25
       1.4500796   9.0821788e+25
       1.4500828   9.0799375e+25
       1.4500859   9.0776428e+25
       1.4500891   9.0753498e+25
       1.4500923   9.0729905e+25
       1.4500955   9.0705666e+25
       1.4500986   9.0681095e+25
       1.4501018   9.0656182e+25
       1.4501050   9.0631086e+25
       1.4501081   9.0605685e+25
       1.4501113   9.0580542e+25
       1.4501145   9.0554624e+25
       1.4501176   9.0528559e+25
       1.4501208   9.0501968e+25
       1.4501240   9.0475008e+25
       1.4501271   9.0447494e+25
       1.4501303   9.0419345e+25
       1.4501335   9.0390522e+25
       1.4501366   9.0360942e+25
       1.4501398   9.0330736e+25
       1.4501430   9.0299838e+25
       1.4501461   9.0268469e+25
       1.4501493   9.0236731e+25
       1.4501525   9.0204911e+25
       1.4501556   9.0173523e+25
       1.4501588   9.0143308e+25
       1.4501620   9.0115204e+25
       1.4501652   9.0090135e+25
       1.4501683   9.0069456e+25
       1.4501715   9.0054284e+25
       1.4501747   9.0045632e+25
       1.4501778   9.0044415e+25
       1.4501810   9.0050797e+25
       1.4501842   9.0064761e+25
       1.4501873   9.0085588e+25
       1.4501905   9.0112455e+25
       1.4501937   9.0144156e+25
       1.4501968   9.0179602e+25
       1.4502000   9.0217666e+25
       1.4502032   9.0257345e+25
       1.4502063   9.0297264e+25
       1.4502095   9.0338059e+25
       1.4502127   9.0378836e+25
       1.4502158   9.0419409e+25
       1.4502190   9.0459559e+25
       1.4502222   9.0499228e+25
       1.4502254   9.0538529e+25
       1.4502285   9.0576677e+25
       1.4502317   9.0614696e+25
       1.4502349   9.0652170e+25
       1.4502380   9.0688676e+25
       1.4502412   9.0724509e+25
       1.4502444   9.0758995e+25
       1.4502475   9.0793085e+25
       1.4502507   9.0826363e+25
       1.4502539   9.0858663e+25
       1.4502570   9.0890170e+25
       1.4502602   9.0920202e+25
       1.4502634   9.0949919e+25
       1.4502665   9.0978816e+25
       1.4502697   9.1006855e+25
       1.4502729   9.1033520e+25
       1.4502761   9.1059991e+25
       1.4502792   9.1085641e+25
       1.4502824   9.1110000e+25
       1.4502856   9.1134064e+25
       1.4502887   9.1157417e+25
       1.4502919   9.1179959e+25
