# Data taken from Menang et al. (2013), which has been normalised to Thuillier. High resolution
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
       1.4500004   9.4823453e+25
       1.4500036   9.4822952e+25
       1.4500067   9.4822451e+25
       1.4500099   9.4821950e+25
       1.4500131   9.4821450e+25
       1.4500163   9.4820949e+25
       1.4500194   9.4820448e+25
       1.4500226   9.4819947e+25
       1.4500258   9.4819446e+25
       1.4500289   9.4818946e+25
       1.4500321   9.4818445e+25
       1.4500353   9.4817944e+25
       1.4500384   9.4817443e+25
       1.4500416   9.4816943e+25
       1.4500448   9.4816442e+25
       1.4500479   9.4815941e+25
       1.4500511   9.4815440e+25
       1.4500543   9.4814939e+25
       1.4500574   9.4814439e+25
       1.4500606   9.4813938e+25
       1.4500638   9.4813437e+25
       1.4500669   9.4812936e+25
       1.4500701   9.4806639e+25
       1.4500733   9.4754147e+25
       1.4500764   9.4686131e+25
       1.4500796   9.4602373e+25
       1.4500828   9.4503491e+25
       1.4500859   9.4390107e+25
       1.4500891   9.4262845e+25
       1.4500923   9.4122326e+25
       1.4500955   9.3969180e+25
       1.4500986   9.3806269e+25
       1.4501018   9.3642237e+25
       1.4501050   9.3486653e+25
       1.4501081   9.3349083e+25
       1.4501113   9.3239092e+25
       1.4501145   9.3166247e+25
       1.4501176   9.3139669e+25
       1.4501208   9.3158752e+25
       1.4501240   9.3213428e+25
       1.4501271   9.3293237e+25
       1.4501303   9.3387720e+25
       1.4501335   9.3486418e+25
       1.4501366   9.3578873e+25
       1.4501398   9.3637135e+25
       1.4501430   9.3530578e+25
       1.4501461   9.3091224e+25
       1.4501493   9.2151050e+25
       1.4501525   9.0542031e+25
       1.4501556   8.8096149e+25
       1.4501588   8.4646859e+25
       1.4501620   8.0233516e+25
       1.4501652   7.5311156e+25
       1.4501683   7.0384840e+25
       1.4501715   6.5959631e+25
       1.4501747   6.2540571e+25
       1.4501778   6.0632703e+25
       1.4501810   6.0705252e+25
       1.4501842   6.2688707e+25
       1.4501873   6.6097264e+25
       1.4501905   7.0434334e+25
       1.4501937   7.5203331e+25
       1.4501968   7.9907687e+25
       1.4502000   8.4050831e+25
       1.4502032   8.7233575e+25
       1.4502063   8.9494278e+25
       1.4502095   9.0994170e+25
       1.4502127   9.1894490e+25
       1.4502158   9.2356465e+25
       1.4502190   9.2541326e+25
       1.4502222   9.2609419e+25
       1.4502254   9.2664563e+25
       1.4502285   9.2720712e+25
       1.4502317   9.2783821e+25
       1.4502349   9.2859841e+25
       1.4502380   9.2954727e+25
       1.4502412   9.3074432e+25
       1.4502444   9.3224062e+25
       1.4502475   9.3399550e+25
       1.4502507   9.3591217e+25
       1.4502539   9.3789304e+25
       1.4502570   9.3984051e+25
       1.4502602   9.4165700e+25
       1.4502634   9.4324492e+25
       1.4502665   9.4453367e+25
       1.4502697   9.4554587e+25
       1.4502729   9.4632421e+25
       1.4502761   9.4691140e+25
       1.4502792   9.4735016e+25
       1.4502824   9.4768317e+25
       1.4502856   9.4778388e+25
       1.4502887   9.4777887e+25
       1.4502919   9.4777387e+25
       1.4502951   9.4776886e+25
       1.4502982   9.4776385e+25
       1.4503014   9.4775885e+25
       1.4503046   9.4775384e+25
       1.4503077   9.4774884e+25
       1.4503109   9.4774383e+25
       1.4503141   9.4773882e+25
       1.4503173   9.4773382e+25
       1.4503204   9.4745595e+25
       1.4503236   9.4684583e+25
       1.4503268   9.4606559e+25
       1.4503299   9.4513313e+25
       1.4503331   9.4416734e+25
       1.4503363   9.4330375e+25
       1.4503394   9.4267791e+25
       1.4503426   9.4242535e+25
       1.4503458   9.4268160e+25
       1.4503489   9.4357166e+25
       1.4503521   9.4497763e+25
       1.4503553   9.4653852e+25
       1.4503584   9.4766874e+25
       1.4503616   9.4766373e+25
       1.4503648   9.4765872e+25
       1.4503680   9.4690034e+25
       1.4503711   9.4375939e+25
       1.4503743   9.3932520e+25
       1.4503775   9.3413117e+25
       1.4503806   9.2871111e+25
       1.4503838   9.2359881e+25
       1.4503870   9.1932805e+25
       1.4503901   9.1643050e+25
       1.4503933   9.1510546e+25
       1.4503965   9.1486056e+25
       1.4503997   9.1511713e+25
       1.4504028   9.1529648e+25
       1.4504060   9.1481995e+25
       1.4504092   9.1310889e+25
       1.4504123   9.0962942e+25
       1.4504155   9.0455152e+25
       1.4504187   8.9860496e+25
       1.4504218   8.9253499e+25
       1.4504250   8.8708685e+25
       1.4504282   8.8300574e+25
       1.4504313   8.8103687e+25
       1.4504345   8.8174339e+25
       1.4504377   8.8484275e+25
       1.4504409   8.8980705e+25
       1.4504440   8.9610836e+25
       1.4504472   9.0321877e+25
       1.4504504   9.1061036e+25
       1.4504535   9.1775742e+25
       1.4504567   9.2428706e+25
       1.4504599   9.3007655e+25
       1.4504630   9.3502635e+25
       1.4504662   9.3903691e+25
       1.4504694   9.4200868e+25
       1.4504726   9.4384212e+25
       1.4504757   9.4445919e+25
       1.4504789   9.4402401e+25
       1.4504821   9.4285330e+25
       1.4504852   9.4126615e+25
       1.4504884   9.3958163e+25
       1.4504916   9.3811882e+25
       1.4504947   9.3719678e+25
       1.4504979   9.3700247e+25
       1.4505011   9.3725147e+25
       1.4505042   9.3755427e+25
       1.4505074   9.3752135e+25
       1.4505106   9.3676321e+25
       1.4505138   9.3489037e+25
       1.4505169   9.3152311e+25
       1.4505201   9.2666008e+25
       1.4505233   9.2079038e+25
       1.4505264   9.1443582e+25
       1.4505296   9.0811818e+25
       1.4505328   9.0235924e+25
       1.4505359   8.9768077e+25
       1.4505391   8.9455032e+25
       1.4505423   8.9298440e+25
       1.4505455   8.9277563e+25
       1.4505486   8.9371505e+25
       1.4505518   8.9559369e+25
       1.4505550   8.9820259e+25
       1.4505581   9.0133278e+25
       1.4505613   9.0476460e+25
       1.4505645   9.0824896e+25
       1.4505676   9.1153178e+25
       1.4505708   9.1435894e+25
       1.4505740   9.1647636e+25
       1.4505772   9.1762995e+25
       1.4505803   9.1757544e+25
       1.4505835   9.1630653e+25
       1.4505867   9.1406207e+25
       1.4505898   9.1109213e+25
       1.4505930   9.0764679e+25
       1.4505962   9.0397608e+25
       1.4505994   9.0033008e+25
       1.4506025   8.9695993e+25
       1.4506057   8.9412366e+25
       1.4506089   8.9208196e+25
       1.4506120   8.9109553e+25
       1.4506152   8.9142505e+25
       1.4506184   8.9333122e+25
       1.4506215   8.9707330e+25
       1.4506247   9.0265880e+25
       1.4506279   9.0955502e+25
       1.4506311   9.1715939e+25
       1.4506342   9.2486937e+25
       1.4506374   9.3208238e+25
       1.4506406   9.3819592e+25
       1.4506437   9.4263605e+25
       1.4506469   9.4529931e+25
       1.4506501   9.4646731e+25
       1.4506532   9.4643299e+25
       1.4506564   9.4548930e+25
       1.4506596   9.4392918e+25
       1.4506628   9.4204554e+25
       1.4506659   9.4012082e+25
       1.4506691   9.3838709e+25
       1.4506723   9.3706131e+25
       1.4506754   9.3636042e+25
       1.4506786   9.3650139e+25
       1.4506818   9.3770115e+25
       1.4506850   9.4016747e+25
       1.4506881   9.4340921e+25
       1.4506913   9.4575644e+25
       1.4506945   9.4542585e+25
       1.4506976   9.4063414e+25
       1.4507008   9.2959807e+25
       1.4507040   9.1053441e+25
       1.4507071   8.8193792e+25
       1.4507103   8.4556019e+25
       1.4507135   8.0526611e+25
       1.4507167   7.6495619e+25
       1.4507198   7.2853099e+25
       1.4507230   6.9989088e+25
       1.4507262   6.8293621e+25
       1.4507293   6.8034314e+25
       1.4507325   6.9027396e+25
       1.4507357   7.0985081e+25
       1.4507389   7.3619594e+25
       1.4507420   7.6643157e+25
       1.4507452   7.9768006e+25
       1.4507484   8.2709311e+25
       1.4507515   8.5303674e+25
       1.4507547   8.7549720e+25
       1.4507579   8.9457348e+25
       1.4507611   9.1036462e+25
       1.4507642   9.2296960e+25
       1.4507674   9.3248742e+25
       1.4507706   9.3904724e+25
       1.4507737   9.4303852e+25
       1.4507769   9.4498385e+25
       1.4507801   9.4540691e+25
       1.4507833   9.4483135e+25
