    1001
      tau        trans        e3
 9.999999617e+35 0.000000000e+00 0.000000000e+00
 6.907755375e+00 1.000000047e-03 1.323334873e-04
 6.214608192e+00 2.000000095e-03 2.289590775e-04
 5.809143066e+00 3.000000026e-03 3.717244836e-04
 5.521461010e+00 4.000000190e-03 4.842232447e-04
 5.298317432e+00 4.999999888e-03 6.306838477e-04
 5.115995884e+00 6.000000052e-03 7.668582257e-04
 4.961844921e+00 7.000000216e-03 9.168700781e-04
 4.828313828e+00 8.000000380e-03 1.067431644e-03
 4.710530758e+00 8.999999613e-03 1.215813681e-03
 4.605170250e+00 9.999999776e-03 1.378530869e-03
 4.509860039e+00 1.099999994e-02 1.539044082e-03
 4.422848701e+00 1.200000010e-02 1.695971936e-03
 4.342805862e+00 1.300000027e-02 1.861423720e-03
 4.268697739e+00 1.400000043e-02 2.023713663e-03
 4.199705124e+00 1.499999966e-02 2.195529640e-03
 4.135166645e+00 1.600000076e-02 2.359616105e-03
 4.074542046e+00 1.700000092e-02 2.536413725e-03
 4.017383575e+00 1.799999923e-02 2.709688619e-03
 3.963316441e+00 1.899999939e-02 2.880115528e-03
 3.912023067e+00 1.999999955e-02 3.058325499e-03
 3.863232851e+00 2.099999972e-02 3.235084470e-03
 3.816712856e+00 2.199999988e-02 3.415029030e-03
 3.772261143e+00 2.300000004e-02 3.598500043e-03
 3.729701519e+00 2.400000021e-02 3.781574778e-03
 3.688879490e+00 2.500000037e-02 3.964071162e-03
 3.649658680e+00 2.600000054e-02 4.151536152e-03
 3.611918449e+00 2.700000070e-02 4.338799044e-03
 3.575550795e+00 2.800000086e-02 4.528245889e-03
 3.540459394e+00 2.899999917e-02 4.717218690e-03
 3.506557941e+00 2.999999933e-02 4.905777983e-03
 3.473767996e+00 3.099999949e-02 5.100886337e-03
 3.442019224e+00 3.200000152e-02 5.294303410e-03
 3.411247730e+00 3.299999982e-02 5.489860661e-03
 3.381394625e+00 3.400000185e-02 5.685412325e-03
 3.352407217e+00 3.500000015e-02 5.883067846e-03
 3.324236393e+00 3.599999845e-02 6.080861203e-03
