# Data adapted from Fiorenza and smoothed to IRTF (0.002 um - triangle)
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
      1.20000  1.47558e+26
      1.20100  1.46883e+26
      1.20200  1.46208e+26
      1.20300  1.45533e+26
      1.20400  1.44858e+26
      1.20500  1.44183e+26
      1.20600  1.43508e+26
      1.20700  1.42833e+26
      1.20800  1.42158e+26
      1.20900  1.41484e+26
      1.21000  1.40809e+26
      1.21100  1.40134e+26
      1.21200  1.39299e+26
      1.21300  1.38708e+26
      1.21400  1.38733e+26
      1.21500  1.38783e+26
      1.21600  1.38467e+26
      1.21700  1.37407e+26
      1.21800  1.36678e+26
      1.21900  1.36241e+26
      1.22000  1.36614e+26
      1.22100  1.36509e+26
      1.22200  1.36048e+26
      1.22300  1.35498e+26
      1.22400  1.35825e+26
      1.22500  1.35680e+26
      1.22600  1.34488e+26
      1.22700  1.32602e+26
      1.22800  1.33729e+26
      1.22900  1.33583e+26
      1.23000  1.33916e+26
      1.23100  1.33883e+26
      1.23200  1.33794e+26
      1.23300  1.33380e+26
      1.23400  1.32890e+26
      1.23500  1.32643e+26
      1.23600  1.32595e+26
      1.23700  1.32559e+26
      1.23800  1.32099e+26
      1.23900  1.30836e+26
      1.24000  1.30894e+26
      1.24100  1.30711e+26
      1.24200  1.29789e+26
      1.24300  1.29083e+26
      1.24400  1.29596e+26
      1.24500  1.29899e+26
      1.24600  1.29762e+26
      1.24700  1.30110e+26
      1.24800  1.29919e+26
      1.24900  1.29980e+26
      1.25000  1.29824e+26
      1.25100  1.29572e+26
      1.25200  1.28805e+26
      1.25300  1.28951e+26
      1.25400  1.28791e+26
      1.25500  1.28082e+26
      1.25600  1.27395e+26
      1.25700  1.27179e+26
      1.25800  1.26841e+26
      1.25900  1.27100e+26
      1.26000  1.26776e+26
      1.26100  1.25972e+26
      1.26200  1.26044e+26
      1.26300  1.25322e+26
      1.26400  1.24992e+26
      1.26500  1.25094e+26
      1.26600  1.25607e+26
      1.26700  1.25014e+26
      1.26800  1.23679e+26
      1.26900  1.24944e+26
      1.27000  1.25337e+26
      1.27100  1.25508e+26
      1.27200  1.25440e+26
      1.27300  1.25139e+26
      1.27400  1.24650e+26
      1.27500  1.24803e+26
      1.27600  1.24575e+26
      1.27700  1.24157e+26
      1.27800  1.23527e+26
      1.27900  1.22412e+26
      1.28000  1.20073e+26
      1.28100  1.12998e+26
      1.28200  1.07459e+26
      1.28300  1.14596e+26
      1.28400  1.17834e+26
      1.28500  1.19701e+26
      1.28600  1.20675e+26
      1.28700  1.20906e+26
      1.28800  1.20687e+26
      1.28900  1.20275e+26
      1.29000  1.18953e+26
      1.29100  1.19774e+26
      1.29200  1.19927e+26
      1.29300  1.19522e+26
      1.29400  1.19393e+26
      1.29500  1.19271e+26
      1.29600  1.19057e+26
      1.29700  1.18290e+26
      1.29800  1.17965e+26
      1.29900  1.18152e+26
      1.30000  1.17827e+26
      1.30100  1.17467e+26
      1.30200  1.17071e+26
      1.30300  1.15940e+26
      1.30400  1.16486e+26
      1.30500  1.16233e+26
      1.30600  1.16325e+26
      1.30700  1.16191e+26
      1.30800  1.15962e+26
      1.30900  1.15516e+26
      1.31000  1.14382e+26
      1.31100  1.14490e+26
      1.31200  1.12471e+26
      1.31300  1.13704e+26
      1.31400  1.13014e+26
      1.31500  1.11115e+26
      1.31600  1.13000e+26
      1.31700  1.12343e+26
      1.31800  1.11613e+26
      1.31900  1.12974e+26
      1.32000  1.12873e+26
      1.32100  1.12871e+26
      1.32200  1.12793e+26
      1.32300  1.12799e+26
      1.32400  1.12424e+26
      1.32500  1.11794e+26
      1.32600  1.11219e+26
      1.32700  1.10978e+26
      1.32800  1.09863e+26
      1.32900  1.08819e+26
      1.33000  1.09782e+26
      1.33100  1.09231e+26
      1.33200  1.08384e+26
      1.33300  1.09532e+26
      1.33400  1.09559e+26
      1.33500  1.09143e+26
      1.33600  1.09131e+26
      1.33700  1.08565e+26
      1.33800  1.07857e+26
      1.33900  1.06719e+26
      1.34000  1.07302e+26
      1.34100  1.07163e+26
      1.34200  1.07147e+26
      1.34300  1.06994e+26
      1.34400  1.07066e+26
      1.34500  1.06585e+26
      1.34600  1.06203e+26
      1.34700  1.06285e+26
      1.34800  1.06118e+26
      1.34900  1.05396e+26
      1.35000  1.04875e+26
      1.35100  1.05240e+26
      1.35200  1.05434e+26
      1.35300  1.05257e+26
      1.35400  1.04770e+26
      1.35500  1.03942e+26
      1.35600  1.03606e+26
      1.35700  1.03788e+26
      1.35800  1.03995e+26
      1.35900  1.03422e+26
      1.36000  1.03623e+26
      1.36100  1.03995e+26
      1.36200  1.03331e+26
      1.36300  1.02987e+26
      1.36400  1.03099e+26
      1.36500  1.03344e+26
      1.36600  1.02820e+26
      1.36700  1.02450e+26
      1.36800  1.02159e+26
      1.36900  1.01694e+26
      1.37000  1.01344e+26
