# Data adapted from Fiorenza and smoothed to NIFS - H-grism
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
      1.21162  1.41029e+26
      1.21169  1.40522e+26
      1.21177  1.39694e+26
      1.21184  1.39583e+26
      1.21191  1.39763e+26
      1.21199  1.39587e+26
      1.21206  1.39074e+26
      1.21213  1.38539e+26
      1.21221  1.38378e+26
      1.21228  1.38848e+26
      1.21236  1.39494e+26
      1.21243  1.39715e+26
      1.21250  1.39631e+26
      1.21258  1.39575e+26
      1.21265  1.39549e+26
      1.21273  1.39474e+26
      1.21280  1.39357e+26
      1.21287  1.39249e+26
      1.21295  1.39282e+26
      1.21302  1.39505e+26
      1.21309  1.39639e+26
      1.21317  1.39418e+26
      1.21324  1.39045e+26
      1.21332  1.38834e+26
      1.21339  1.38803e+26
      1.21346  1.38804e+26
      1.21354  1.38526e+26
      1.21361  1.37744e+26
      1.21369  1.36732e+26
      1.21376  1.35957e+26
      1.21383  1.35729e+26
      1.21391  1.36177e+26
      1.21398  1.37020e+26
      1.21405  1.37825e+26
      1.21413  1.38368e+26
      1.21420  1.38577e+26
      1.21428  1.38650e+26
      1.21435  1.38812e+26
      1.21442  1.39000e+26
      1.21450  1.39103e+26
      1.21457  1.39124e+26
      1.21465  1.39101e+26
      1.21472  1.39104e+26
      1.21480  1.39154e+26
      1.21487  1.39120e+26
      1.21494  1.38932e+26
      1.21502  1.38786e+26
      1.21509  1.38863e+26
      1.21517  1.39072e+26
      1.21524  1.39245e+26
      1.21531  1.39258e+26
      1.21539  1.39083e+26
      1.21546  1.38916e+26
      1.21554  1.38917e+26
      1.21561  1.38944e+26
      1.21568  1.38861e+26
      1.21576  1.38738e+26
      1.21583  1.38684e+26
      1.21591  1.38749e+26
      1.21598  1.38905e+26
      1.21606  1.38975e+26
      1.21613  1.38861e+26
      1.21620  1.38750e+26
      1.21628  1.38779e+26
      1.21635  1.38782e+26
      1.21643  1.38621e+26
      1.21650  1.38385e+26
      1.21658  1.38212e+26
      1.21665  1.38216e+26
      1.21672  1.38386e+26
      1.21680  1.38454e+26
      1.21687  1.38225e+26
      1.21695  1.37825e+26
      1.21702  1.37415e+26
      1.21710  1.37054e+26
      1.21717  1.36822e+26
      1.21724  1.36825e+26
      1.21732  1.37083e+26
      1.21739  1.37433e+26
      1.21747  1.37657e+26
      1.21754  1.37573e+26
      1.21762  1.37173e+26
      1.21769  1.36773e+26
      1.21777  1.36572e+26
      1.21784  1.36360e+26
      1.21791  1.35978e+26
      1.21799  1.35554e+26
      1.21806  1.35287e+26
      1.21814  1.35404e+26
      1.21821  1.35935e+26
      1.21829  1.36507e+26
      1.21836  1.36827e+26
      1.21843  1.36944e+26
      1.21851  1.36953e+26
      1.21858  1.36931e+26
      1.21866  1.36962e+26
      1.21873  1.37077e+26
      1.21881  1.37275e+26
      1.21888  1.37476e+26
      1.21896  1.37496e+26
      1.21903  1.37030e+26
      1.21911  1.36047e+26
      1.21918  1.35025e+26
      1.21926  1.34393e+26
      1.21933  1.34269e+26
      1.21941  1.34551e+26
      1.21948  1.34860e+26
      1.21955  1.34998e+26
      1.21963  1.35216e+26
      1.21970  1.35653e+26
      1.21978  1.36161e+26
      1.21985  1.36583e+26
      1.21993  1.36795e+26
      1.22000  1.36793e+26
      1.22008  1.36762e+26
      1.22015  1.36800e+26
      1.22023  1.36804e+26
      1.22030  1.36738e+26
      1.22038  1.36679e+26
      1.22045  1.36694e+26
      1.22053  1.36796e+26
      1.22060  1.36931e+26
      1.22067  1.36964e+26
      1.22075  1.36866e+26
      1.22083  1.36786e+26
      1.22090  1.36804e+26
      1.22097  1.36863e+26
      1.22105  1.36921e+26
      1.22112  1.36971e+26
      1.22120  1.36998e+26
      1.22127  1.36969e+26
      1.22135  1.36822e+26
      1.22142  1.36484e+26
      1.22150  1.36052e+26
      1.22157  1.35838e+26
      1.22165  1.35948e+26
      1.22172  1.36149e+26
      1.22180  1.36229e+26
      1.22187  1.36087e+26
      1.22195  1.35831e+26
      1.22202  1.35832e+26
      1.22210  1.36186e+26
      1.22217  1.36566e+26
      1.22225  1.36743e+26
      1.22232  1.36679e+26
      1.22240  1.36475e+26
      1.22247  1.36392e+26
      1.22255  1.36494e+26
      1.22262  1.36545e+26
      1.22270  1.36379e+26
      1.22277  1.35948e+26
