# Data adapted from Houghton (1986) p238. Flux multiplied by 1.035
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
     0.115000  2.03756e+21
     0.140000  8.73242e+21
     0.160000  6.69486e+22
     0.180000  3.69672e+23
     0.200000  3.14367e+24
     0.220000  1.69409e+25
     0.230000  1.96479e+25
     0.240000  1.85709e+25
     0.250000  2.08995e+25
     0.260000  3.84226e+25
     0.270000  6.84040e+25
     0.280000  6.54931e+25
     0.290000  1.42048e+26
     0.300000  1.51362e+26
     0.310000  2.03175e+26
     0.320000  2.44507e+26
     0.330000  3.12038e+26
     0.340000  3.16405e+26
     0.350000  3.22227e+26
     0.360000  3.14659e+26
     0.370000  3.46386e+26
     0.380000  3.30085e+26
     0.390000  3.23682e+26
     0.400000  4.21193e+26
     0.410000  5.16086e+26
     0.420000  5.15213e+26
     0.430000  4.83194e+26
     0.440000  5.33551e+26
     0.450000  5.91185e+26
     0.460000  6.08941e+26
     0.470000  5.99335e+26
     0.480000  6.11269e+26
     0.490000  5.74885e+26
     0.500000  5.72265e+26
     0.510000  5.54799e+26
     0.520000  5.40246e+26
     0.530000  5.42866e+26
     0.540000  5.25400e+26
     0.550000  5.08518e+26
     0.560000  4.99494e+26
     0.570000  5.04734e+26
     0.580000  5.05607e+26
     0.590000  5.00950e+26
     0.600000  4.91053e+26
     0.620000  4.72133e+26
     0.640000  4.54959e+26
     0.660000  4.38076e+26
     0.680000  4.20612e+26
     0.700000  4.03438e+26
     0.720000  3.87428e+26
     0.750000  3.64142e+26
     0.800000  3.26884e+26
     0.900000  2.62555e+26
      1.00000  2.20348e+26
      1.20000  1.42921e+26
      1.40000  9.92585e+25
      1.60000  7.21880e+25
      1.80000  4.68640e+25
      2.00000  3.02724e+25
      2.20000  2.32865e+25
      2.40000  1.83381e+25
      2.60000  1.42629e+25
      2.80000  1.13522e+25
      3.00000  9.02350e+24
      3.20000  6.66575e+24
      3.40000  4.89016e+24
      3.60000  3.98780e+24
      3.80000  3.26010e+24
