# Data adapted from Houghton (1986) p238
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
     0.115000  1.96866e+21
     0.140000  8.43712e+21
     0.160000  6.46846e+22
     0.180000  3.57171e+23
     0.200000  3.03736e+24
     0.220000  1.63680e+25
     0.230000  1.89835e+25
     0.240000  1.79429e+25
     0.250000  2.01928e+25
     0.260000  3.71233e+25
     0.270000  6.60908e+25
     0.280000  6.32784e+25
     0.290000  1.37244e+26
     0.300000  1.46243e+26
     0.310000  1.96304e+26
     0.320000  2.36239e+26
     0.330000  3.01486e+26
     0.340000  3.05705e+26
     0.350000  3.11330e+26
     0.360000  3.04018e+26
     0.370000  3.34672e+26
     0.380000  3.18923e+26
     0.390000  3.12736e+26
     0.400000  4.06950e+26
     0.410000  4.98634e+26
     0.420000  4.97790e+26
     0.430000  4.66854e+26
     0.440000  5.15508e+26
     0.450000  5.71193e+26
     0.460000  5.88349e+26
     0.470000  5.79068e+26
     0.480000  5.90598e+26
     0.490000  5.55444e+26
     0.500000  5.52913e+26
     0.510000  5.36038e+26
     0.520000  5.21977e+26
     0.530000  5.24508e+26
     0.540000  5.07633e+26
     0.550000  4.91322e+26
     0.560000  4.82603e+26
     0.570000  4.87666e+26
     0.580000  4.88509e+26
     0.590000  4.84010e+26
     0.600000  4.74447e+26
     0.620000  4.56167e+26
     0.640000  4.39574e+26
     0.660000  4.23262e+26
     0.680000  4.06388e+26
     0.700000  3.89795e+26
     0.720000  3.74327e+26
     0.750000  3.51828e+26
     0.800000  3.15830e+26
     0.900000  2.53676e+26
      1.00000  2.12897e+26
      1.20000  1.38088e+26
      1.40000  9.59019e+25
      1.60000  6.97469e+25
      1.80000  4.52792e+25
      2.00000  2.92487e+25
      2.20000  2.24990e+25
      2.40000  1.77180e+25
      2.60000  1.37806e+25
      2.80000  1.09683e+25
      3.00000  8.71836e+24
      3.20000  6.44034e+24
      3.40000  4.72479e+24
      3.60000  3.85295e+24
      3.80000  3.14986e+24
      4.00000  2.69988e+24
      4.50000  1.68742e+24
      5.00000  1.06870e+24
      6.00000  5.06227e+23
      7.00000  2.81237e+23
      8.00000  1.68742e+23
      10.0000  7.03094e+22
      15.0000  1.37806e+22
      20.0000  4.21856e+21
      50.0000  1.12495e+20
