# Data adapted from Houghton (1986) p238
# Wavenumber (cm-1)   Spectral luminosity (W (cm-1)-1)
0
6.955e5
      87000.0  2.59863e+15
      71400.0  1.65368e+16
      62500.0  1.65649e+17
      55500.0  1.15870e+18
      50000.0  1.21495e+19
      45400.0  7.93089e+19
      43400.0  1.00683e+20
      41700.0  1.03214e+20
      40000.0  1.26276e+20
      38400.0  2.51707e+20
      37000.0  4.80916e+20
      35700.0  4.97790e+20
      34400.0  1.15870e+21
      33300.0  1.31900e+21
      32200.0  1.89273e+21
      31200.0  2.42708e+21
      30300.0  3.29048e+21
      29400.0  3.54359e+21
      28600.0  3.79670e+21
      27800.0  3.93732e+21
      27000.0  4.58417e+21
      26300.0  4.61229e+21
      25600.0  4.78104e+21
      25000.0  6.52471e+21
      24400.0  8.38087e+21
      23800.0  8.77461e+21
      23200.0  8.66211e+21
      22700.0  1.00121e+22
      22200.0  1.15870e+22
      21700.0  1.24869e+22
      21300.0  1.27682e+22
      20800.0  1.36400e+22
      20400.0  1.33588e+22
      20000.0  1.38369e+22
      19600.0  1.39494e+22
      19300.0  1.40056e+22
      18900.0  1.46806e+22
      18500.0  1.48212e+22
      18100.0  1.49900e+22
      17900.0  1.50743e+22
      17500.0  1.59180e+22
      17200.0  1.65086e+22
      16900.0  1.69586e+22
      16700.0  1.70149e+22
      16100.0  1.76055e+22
      15600.0  1.80554e+22
      15200.0  1.83086e+22
      14700.0  1.87867e+22
      14300.0  1.90679e+22
      13900.0  1.93773e+22
      13300.0  1.98835e+22
      12500.0  2.02210e+22
      11100.0  2.05866e+22
      10000.0  2.12897e+22
      8330.00  1.99116e+22
      7140.00  1.88148e+22
      6250.00  1.78586e+22
      5560.00  1.46525e+22
      5000.00  1.16995e+22
      4540.00  1.09120e+22
      4170.00  1.01808e+22
      3850.00  9.30896e+21
      3570.00  8.60586e+21
      3330.00  7.87465e+21
      3130.00  6.58095e+21
      2940.00  5.45601e+21
      2780.00  4.97790e+21
      2630.00  4.55605e+21
      2500.00  4.33106e+21
      2220.00  3.43110e+21
      2000.00  2.67175e+21
      1660.00  1.83648e+21
      1430.00  1.37525e+21
      1250.00  1.07995e+21
      1000.00  7.03093e+20
      667.000  3.09361e+20
      500.000  1.68742e+20
      200.000  2.81237e+19
