# Kurucz93 solar model from https://archive.stsci.edu/hlsps/reference-atlases/cdbs/grid/k93models/standards/
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
695500.0
    0.0925000  3.05916e+14
    0.0935000  4.40338e+14
    0.0945000  6.54208e+14
    0.0955000  9.71315e+14
    0.0965000  1.40974e+15
    0.0975000  1.95923e+15
    0.0985000  2.77959e+15
    0.0995000  3.86692e+15
     0.100500  5.60506e+15
     0.101500  7.71925e+15
     0.102500  9.78324e+15
     0.103500  1.46071e+16
     0.104500  1.99967e+16
     0.105500  2.65869e+16
     0.106500  3.57245e+16
     0.107500  4.80045e+16
     0.108500  6.40158e+16
     0.109500  8.31194e+16
     0.110500  3.13815e+17
     0.111500  5.20055e+17
     0.112500  7.55271e+17
     0.113500  1.08952e+18
     0.114500  1.44975e+18
     0.115500  1.72357e+18
     0.116500  2.31569e+18
     0.117500  2.97103e+18
     0.118500  3.35971e+18
     0.119500  2.98670e+18
     0.120500  3.37878e+18
     0.121500  1.31313e+18
     0.122500  4.65909e+18
     0.123500  8.54080e+18
     0.124500  1.15056e+19
     0.125500  1.37862e+19
     0.126500  1.51263e+19
     0.127500  1.86689e+19
     0.128500  2.12619e+19
     0.129500  2.59503e+19
     0.130500  2.74762e+19
     0.131500  3.42282e+19
     0.132500  3.63674e+19
     0.133500  4.14739e+19
     0.134500  4.87663e+19
     0.135500  5.67696e+19
     0.136500  6.20480e+19
     0.137500  6.89759e+19
     0.138500  7.81032e+19
     0.139500  8.83833e+19
     0.140500  1.06191e+20
     0.141500  1.22806e+20
     0.142500  1.42226e+20
     0.143500  1.68035e+20
     0.144200  2.09336e+20
     0.144700  1.98376e+20
     0.145500  2.29343e+20
     0.146500  2.85975e+20
     0.147500  3.28546e+20
     0.148500  3.61585e+20
     0.149500  4.53887e+20
     0.150500  5.44286e+20
     0.151200  4.58046e+20
     0.151700  5.52101e+20
     0.152500  1.25135e+21
     0.153500  1.99279e+21
     0.154500  1.72710e+21
     0.155500  2.73127e+21
     0.156500  2.61383e+21
     0.157500  4.62503e+21
