# Data adapted from Kurucz reference solar spectrum HST+IRTF
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
     0.119500  2.49212e+22
     0.200000  2.08230e+24
     0.300500  1.22658e+26
     0.400500  4.89902e+26
     0.467000  5.67796e+26
     0.547000  5.25013e+26
     0.619000  4.80344e+26
     0.658000  4.23186e+26
     0.727000  3.76585e+26
     0.799000  3.20040e+26
     0.801000  3.22008e+26
     0.803000  3.18352e+26
     0.805000  3.14415e+26
     0.807000  3.15821e+26
     0.809000  3.08790e+26
     0.811000  3.14134e+26
     0.813000  3.14415e+26
     0.815000  3.12165e+26
     0.817000  3.11321e+26
     0.819000  2.99791e+26
     0.821000  3.04572e+26
     0.823000  3.02603e+26
     0.825000  3.03166e+26
     0.827000  3.03447e+26
     0.829000  3.02322e+26
     0.831000  3.00916e+26
     0.833000  2.91073e+26
     0.835000  2.96416e+26
     0.837000  2.96135e+26
     0.839000  2.93323e+26
     0.841000  2.94166e+26
     0.843000  2.89386e+26
     0.845000  2.87721e+26
     0.847000  2.88542e+26
     0.849000  2.73355e+26
     0.851000  2.82355e+26
     0.853000  2.73918e+26
     0.855000  2.46920e+26
     0.857000  2.84605e+26
     0.859000  2.80667e+26
     0.861000  2.80667e+26
     0.863000  2.81230e+26
     0.865000  2.73074e+26
     0.867000  2.47764e+26
     0.869000  2.72231e+26
     0.870000  2.69981e+26
     0.872000  2.68012e+26
     0.874000  2.68856e+26
     0.876000  2.69418e+26
     0.878000  2.62669e+26
     0.880000  2.62950e+26
     0.882000  2.59575e+26
     0.884000  2.63512e+26
     0.886000  2.59294e+26
     0.888000  2.59856e+26
     0.890000  2.58731e+26
     0.892000  2.56200e+26
     0.894000  2.57044e+26
     0.896000  2.58450e+26
     0.898000  2.51419e+26
     0.900000  2.50013e+26
     0.902000  2.50576e+26
     0.904000  2.47764e+26
     0.906000  2.47764e+26
     0.908000  2.40170e+26
     0.910000  2.43264e+26
     0.912000  2.45514e+26
     0.914000  2.43264e+26
     0.916000  2.41858e+26
     0.918000  2.42139e+26
     0.920000  2.34827e+26
     0.922000  2.32858e+26
     0.924000  2.35387e+26
     0.926000  2.35952e+26
     0.928000  2.37639e+26
     0.930000  2.36233e+26
     0.932000  2.38483e+26
     0.934000  2.34827e+26
     0.936000  2.30609e+26
     0.938000  2.32858e+26
     0.940000  2.30890e+26
     0.942000  2.26671e+26
     0.944000  2.31171e+26
     0.946000  2.29765e+26
     0.948000  2.25265e+26
     0.950000  2.25828e+26
     0.952000  2.23859e+26
     0.954000  2.20765e+26
     0.956000  2.24703e+26
     0.958000  2.23859e+26
     0.960000  2.21609e+26
     0.962000  2.20454e+26
     0.964000  2.19864e+26
     0.966000  2.17033e+26
     0.968000  2.18306e+26
     0.970000  2.17131e+26
     0.972000  2.18374e+26
     0.974000  2.13344e+26
     0.976000  2.15128e+26
     0.978000  2.13914e+26
     0.980000  2.12862e+26
     0.982000  2.13631e+26
     0.984000  2.11961e+26
     0.986000  2.10933e+26
     0.988000  2.10178e+26
     0.990000  2.07075e+26
     0.992000  2.08967e+26
     0.994000  2.08674e+26
