      130
lambda    x-section
(micron)  (m-1 amagat-1)
     0.547645      0.00000
     0.547779  7.21400e-07
     0.548083  1.09700e-05
     0.548289  2.21800e-05
     0.548414  3.37500e-05
     0.548643  6.18900e-05
     0.548770  7.89900e-05
     0.549060  0.000149500
     0.549271  0.000216300
     0.549497  0.000313400
     0.549621  0.000407900
     0.549726  0.000464800
     0.549799  0.000525400
     0.549905  0.000588700
     0.549977  0.000644800
     0.550052  0.000706900
     0.550110  0.000728600
     0.550188  0.000737000
     0.550264  0.000731000
     0.550299  0.000722600
     0.550353  0.000694500
     0.550455  0.000661400
     0.550521  0.000622200
     0.550587  0.000577300
     0.550686  0.000515500
     0.550753  0.000473300
     0.550806  0.000434100
     0.550873  0.000379300
     0.550985  0.000334400
     0.551105  0.000292200
     0.551228  0.000276700
     0.551319  0.000271100
     0.551355  0.000279900
     0.551390  0.000278100
     0.551416  0.000317400
     0.551458  0.000380500
     0.551520  0.000429400
     0.551524  0.000477000
     0.551585  0.000523400
     0.551587  0.000565200
     0.551591  0.000612400
     0.551594  0.000653600
     0.551654  0.000689900
     0.551704  0.000707500
     0.551821  0.000719300
     0.551925  0.000708800
     0.551947  0.000695200
     0.552013  0.000665600
     0.552157  0.000593800
     0.552367  0.000527900
     0.552646  0.000427600
     0.552976  0.000359900
     0.553352  0.000320000
     0.554001  0.000234100
     0.554625  0.000135700
     0.555294  7.38000e-05
     0.555947  3.64200e-05
     0.556803  1.29100e-05
     0.557380  9.19900e-07
     0.557414      0.00000
     0.636028      0.00000
     0.636564  8.06500e-06
     0.637102  2.33100e-05
     0.637852  6.96300e-05
     0.638896  0.000148100
     0.639811  0.000230700
     0.640983  0.000394000
     0.641469  0.000471200
     0.641926  0.000607500
     0.642214  0.000761200
     0.642783   0.00129100
     0.643246   0.00187400
     0.643629   0.00255800
     0.643802   0.00303900
     0.643980   0.00376400
     0.644135   0.00417600
     0.644252   0.00466400
     0.644308   0.00478600
     0.644405   0.00484200
     0.644504   0.00472000
     0.644504   0.00478900
     0.644504   0.00478900
     0.644619   0.00465700
     0.644721   0.00469900
     0.644774   0.00477500
     0.644869   0.00482100
     0.644966   0.00477300
     0.645025   0.00455600
     0.645026   0.00469400
     0.645235   0.00405800
     0.645390   0.00364000
     0.645601   0.00322200
     0.645810   0.00285600
     0.645983   0.00243800
     0.646216   0.00196700
     0.646334   0.00167100
     0.646450   0.00148700
     0.646623   0.00140900
     0.646791   0.00142900
     0.646941   0.00150700
     0.647054   0.00161400
     0.647165   0.00185700
     0.647340   0.00235500
     0.647500   0.00293800
     0.647500   0.00293800
     0.647599   0.00340700
     0.647657   0.00383600
     0.647774   0.00427400
     0.647832   0.00460700
     0.647872   0.00490200
     0.648003   0.00514300
     0.648101   0.00518900
     0.648198   0.00514700
     0.648256   0.00501600
     0.648314   0.00467100
     0.648432   0.00425800
     0.648494   0.00393400
     0.648783   0.00338400
     0.649304   0.00287800
     0.649831   0.00240100
     0.650579   0.00201400
     0.651799   0.00153800
     0.652589   0.00125600
     0.653461  0.000954200
     0.654656  0.000592700
     0.655971  0.000284700
     0.657133  0.000152100
     0.658275  5.87300e-05
     0.659305  1.44900e-05
     0.660284      0.00000
