# Meftah et al. (2023). Smoothed to Gemini/NIFS. Wavelengths
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
      1.48000  8.73781e+25
      1.48010  8.73581e+25
      1.48020  8.73713e+25
      1.48030  8.73748e+25
      1.48040  8.72547e+25
      1.48050  8.71093e+25
      1.48060  8.70241e+25
      1.48070  8.71038e+25
      1.48080  8.70739e+25
      1.48090  8.67583e+25
      1.48100  8.62145e+25
      1.48110  8.57492e+25
      1.48120  8.56940e+25
      1.48130  8.59376e+25
      1.48140  8.63392e+25
      1.48150  8.66426e+25
      1.48160  8.68184e+25
      1.48170  8.63967e+25
      1.48180  8.59009e+25
      1.48190  8.55348e+25
      1.48200  8.61388e+25
      1.48210  8.67494e+25
      1.48220  8.72259e+25
      1.48230  8.71643e+25
      1.48240  8.70934e+25
      1.48250  8.68883e+25
      1.48260  8.67029e+25
      1.48270  8.62623e+25
      1.48280  8.48680e+25
      1.48290  8.24480e+25
      1.48300  8.04835e+25
      1.48310  8.08353e+25
      1.48320  8.33020e+25
      1.48330  8.55758e+25
      1.48340  8.66374e+25
      1.48350  8.65384e+25
      1.48360  8.64232e+25
      1.48370  8.59449e+25
      1.48380  8.56197e+25
      1.48390  8.53799e+25
      1.48400  8.58180e+25
      1.48410  8.62044e+25
      1.48420  8.58936e+25
      1.48430  8.49046e+25
      1.48440  8.39326e+25
      1.48450  8.40187e+25
      1.48460  8.47669e+25
      1.48470  8.55014e+25
      1.48480  8.59631e+25
      1.48490  8.62507e+25
      1.48500  8.64848e+25
      1.48510  8.65569e+25
      1.48520  8.63967e+25
      1.48530  8.60431e+25
      1.48540  8.53399e+25
      1.48550  8.47624e+25
      1.48560  8.46878e+25
      1.48570  8.53320e+25
      1.48580  8.59311e+25
      1.48590  8.62329e+25
      1.48600  8.60932e+25
      1.48610  8.60673e+25
      1.48620  8.60626e+25
      1.48630  8.57239e+25
      1.48640  8.50840e+25
      1.48650  8.43462e+25
      1.48660  8.42920e+25
      1.48670  8.45556e+25
      1.48680  8.48453e+25
      1.48690  8.48756e+25
      1.48700  8.46930e+25
      1.48710  8.46358e+25
      1.48720  8.45121e+25
      1.48730  8.42280e+25
      1.48740  8.29647e+25
      1.48750  8.15272e+25
      1.48760  8.03191e+25
      1.48770  8.03266e+25
      1.48780  7.94116e+25
      1.48790  7.57715e+25
      1.48800  6.83801e+25
      1.48810  6.17894e+25
      1.48820  6.02228e+25
      1.48830  6.57705e+25
      1.48840  7.32082e+25
      1.48850  7.91242e+25
      1.48860  8.18056e+25
      1.48870  8.31748e+25
      1.48880  8.36913e+25
      1.48890  8.35907e+25
      1.48900  8.33735e+25
      1.48910  8.36047e+25
      1.48920  8.43747e+25
      1.48930  8.50330e+25
      1.48940  8.53717e+25
      1.48950  8.54060e+25
      1.48960  8.55708e+25
      1.48970  8.56801e+25
      1.48980  8.56696e+25
      1.48990  8.50746e+25
      1.49000  8.41712e+25
      1.49010  8.33174e+25
      1.49020  8.33070e+25
      1.49030  8.40799e+25
      1.49040  8.49933e+25
      1.49050  8.55061e+25
      1.49060  8.50138e+25
      1.49070  8.43529e+25
      1.49080  8.37937e+25
      1.49090  8.43642e+25
      1.49100  8.50621e+25
      1.49110  8.56073e+25
      1.49120  8.53479e+25
      1.49130  8.47072e+25
      1.49140  8.40353e+25
      1.49150  8.38606e+25
      1.49160  8.43236e+25
      1.49170  8.50091e+25
      1.49180  8.53809e+25
      1.49190  8.54233e+25
      1.49200  8.53130e+25
      1.49210  8.53160e+25
      1.49220  8.53263e+25
      1.49230  8.54739e+25
      1.49240  8.56120e+25
      1.49250  8.57472e+25
      1.49260  8.57656e+25
      1.49270  8.57064e+25
      1.49280  8.55460e+25
      1.49290  8.53682e+25
      1.49300  8.52606e+25
      1.49310  8.52128e+25
      1.49320  8.51799e+25
      1.49330  8.51086e+25
      1.49340  8.51253e+25
      1.49350  8.51597e+25
      1.49360  8.51172e+25
      1.49370  8.50948e+25
      1.49380  8.50401e+25
      1.49390  8.51001e+25
      1.49400  8.45455e+25
      1.49410  8.36585e+25
      1.49420  8.24236e+25
      1.49430  8.23030e+25
      1.49440  8.29554e+25
      1.49450  8.40964e+25
      1.49460  8.45707e+25
      1.49470  8.46381e+25
      1.49480  8.46937e+25
      1.49490  8.45460e+25
      1.49500  8.41565e+25
      1.49510  8.35767e+25
      1.49520  8.36279e+25
      1.49530  8.41539e+25
      1.49540  8.47053e+25
      1.49550  8.49315e+25
