# Meftah et al. (2023). Smoothed to IRTF/SpeX. Wavelengths corrected to air
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
     0.450000  6.10426e+26
     0.451000  6.05780e+26
     0.452000  5.83163e+26
     0.453000  5.62070e+26
     0.454000  5.65009e+26
     0.455000  5.74486e+26
     0.456000  5.85583e+26
     0.457000  5.89768e+26
     0.458000  5.82837e+26
     0.459000  5.78578e+26
     0.460000  5.82861e+26
     0.461000  5.93400e+26
     0.462000  5.98121e+26
     0.463000  5.92944e+26
     0.464000  5.81542e+26
     0.465000  5.72779e+26
     0.466000  5.68188e+26
     0.467000  5.62807e+26
     0.468000  5.65246e+26
     0.469000  5.67551e+26
     0.470000  5.60748e+26
     0.471000  5.65625e+26
     0.472000  5.78328e+26
     0.473000  5.80213e+26
     0.474000  5.84155e+26
     0.475000  5.87472e+26
     0.476000  5.82988e+26
     0.477000  5.87742e+26
     0.478000  5.96650e+26
     0.479000  5.97454e+26
     0.480000  5.97489e+26
     0.481000  5.99449e+26
     0.482000  5.99014e+26
     0.483000  5.92191e+26
     0.484000  5.81263e+26
     0.485000  5.47529e+26
     0.486000  5.04522e+26
     0.487000  5.12675e+26
     0.488000  5.43369e+26
     0.489000  5.58432e+26
     0.490000  5.71743e+26
     0.491000  5.64413e+26
     0.492000  5.51442e+26
     0.493000  5.60669e+26
     0.494000  5.73107e+26
     0.495000  5.78183e+26
     0.496000  5.78471e+26
     0.497000  5.73787e+26
     0.498000  5.64119e+26
     0.499000  5.54471e+26
     0.500000  5.41011e+26
     0.501000  5.23729e+26
     0.502000  5.20498e+26
     0.503000  5.26117e+26
     0.504000  5.28537e+26
     0.505000  5.39950e+26
     0.506000  5.50410e+26
     0.507000  5.40643e+26
     0.508000  5.32207e+26
     0.509000  5.36741e+26
     0.510000  5.37980e+26
     0.511000  5.38632e+26
     0.512000  5.36247e+26
     0.513000  5.22853e+26
     0.514000  5.13953e+26
     0.515000  5.14393e+26
     0.516000  4.93785e+26
     0.517000  4.61706e+26
     0.518000  4.63437e+26
     0.519000  4.85874e+26
     0.520000  5.03162e+26
     0.521000  5.12853e+26
     0.522000  5.13468e+26
     0.523000  5.15845e+26
     0.524000  5.27750e+26
     0.525000  5.30346e+26
