Solar spectrum flux at 1 AU. Data taken from Houghton (1986) p238.
From the table on p238, wavenumber was determined via 1 / Wavelength,
while the Irradiance(WNum)= Irradiance(Wavelength) * d(Wave)/d(WNum)
where d(Wave)/d(WNum)= - 1 / (WNum^2)
Wavenumber [cm-1]    Irradiance [W m-2 (cm-1)-1]
8.70E4    9.24E-9
7.14E4    5.88E-8
6.25E4    5.89E-7
5.55E4    4.12E-6
5.00E4    4.32E-5
4.54E4    2.82E-4
4.34E4    3.58E-4
4.17E4    3.67E-4
4.00E4    4.49E-4
3.84E4    8.95E-4
3.70E4    1.71E-3
3.57E4    1.77E-3
3.44E4    4.12E-3
3.33E4    4.69E-3
3.22E4    6.73E-3
3.12E4    8.63E-3
3.03E4    0.0117
2.94E4    0.0126
2.86E4    0.0135
2.78E4    0.0140
2.70E4    0.0163
2.63E4    0.0164
2.56E4    0.0170
2.50E4    0.0232
2.44E4    0.0298
2.38E4    0.0312
2.32E4    0.0308
2.27E4    0.0356
2.22E4    0.0412
2.17E4    0.0444
2.13E4    0.0454
2.08E4    0.0485
2.04E4    0.0475
2.00E4    0.0492
1.96E4    0.0496
1.93E4    0.0498
1.89E4    0.0522
1.85E4    0.0527
1.81E4    0.0533
1.79E4    0.0536
1.75E4    0.0566
1.72E4    0.0587
1.69E4    0.0603
1.67E4    0.0605
1.61E4    0.0626
1.56E4    0.0642
1.52E4    0.0651
1.47E4    0.0668
1.43E4    0.0678
1.39E4    0.0689
1.33E4    0.0707
1.25E4    0.0719
1.11E4    0.0732
1.00E4    0.0757
8330      0.0708
7140      0.0669
6250      0.0635
5560      0.0521
5000      0.0416
4540      0.0388
4170      0.0362
3850      0.0331
3570      0.0306
3330      0.0280
3130      0.0234
2940      0.0194
2780      0.0177
2630      0.0162
2500      0.0154
2220      0.0122
2000      9.50E-3
1660      6.53E-3
1430      4.89E-3
1250      3.84E-3
1000      2.50E-3
667       1.10E-3
500       6.00E-4
200       1.00E-4
100       5.00E-5
50        2.50E-5
10        5.00E-6
