Solar spectrum flux at 1AU.
Data taken from Houghton (1986) p238
Wavelength (microns)    Irradiance (W m-2 nm-1)
0.115    7e-6
0.14     3e-5
0.16    2.3e-4
0.18    0.00127
0.2     0.0108
0.22    0.0582
0.23    0.0675
0.24    0.0638
0.25    0.0718
0.26    0.132
0.27    0.235
0.28    0.225
0.29    0.488
0.30    0.520
0.31    0.698
0.32    0.840
0.33    1.072
0.34    1.087
0.35    1.107
0.36    1.081
0.37    1.190
0.38    1.134
0.39    1.112
0.40    1.447
0.41    1.773
0.42    1.770
0.43    1.660
0.44    1.833
0.45    2.031
0.46    2.092
0.47    2.059
0.48    2.100
0.49    1.975
0.50    1.966
0.51    1.906
0.52    1.856
0.53    1.865
0.54    1.805
0.55    1.747
0.56    1.716
0.57    1.734
0.58    1.737
0.59    1.721
0.60    1.687
0.62    1.622
0.64    1.563
0.66    1.505
0.68    1.445
0.70    1.386
0.72    1.331
0.75    1.251
0.80    1.123
0.90    0.902
1.0     0.757
1.2     0.491
1.4     0.341
1.6     0.248
1.8     0.161
2.0     0.104
2.2     0.080
2.4     0.063
2.6     0.049
2.8     0.039
3.0     0.031
3.2     0.0229
3.4     0.0168
3.6     0.0137
3.8     0.0112
4.0     0.0096
4.5     0.0060
5.0     0.0038
6.0     0.0018
7.0     0.0010
8.0     6.0e-4
10.0    2.5e-4
15.0    4.9e-5
20.0    1.5e-5
50.0    4.0e-7
