# Solar spectrum provided by Leigh Fletcher
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
695500.0
     0.200000  2.133392e+24
     0.204257  2.773777e+24
     0.208513  4.053788e+24
     0.212770  9.794735e+24
     0.217026  1.061824e+25
     0.221283  1.359514e+25
     0.225539  1.623222e+25
     0.229796  1.395864e+25
     0.234053  1.342937e+25
     0.238309  1.308136e+25
     0.242566  1.555605e+25
     0.246822  1.527843e+25
     0.251079  1.604516e+25
     0.255335  1.779604e+25
     0.259592  3.281411e+25
     0.263849  4.215432e+25
     0.268105  7.066706e+25
     0.272362  6.496074e+25
     0.276618  5.650857e+25
     0.280875  3.220705e+25
     0.285131  7.100222e+25
     0.289388  1.013985e+26
     0.293645  1.518397e+26
     0.297901  1.409702e+26
     0.302158  1.289403e+26
     0.306414  1.650909e+26
     0.310671  1.766400e+26
     0.314927  1.958848e+26
     0.319184  1.969517e+26
     0.323441  1.933576e+26
     0.327697  2.794669e+26
     0.331954  2.909281e+26
     0.336210  2.740964e+26
     0.340467  2.908199e+26
     0.344723  2.622228e+26
     0.348980  2.758934e+26
     0.353237  2.924896e+26
     0.357493  2.967210e+26
     0.361750  2.716329e+26
     0.366006  3.193359e+26
     0.370263  3.395020e+26
     0.374519  3.311643e+26
     0.378776  3.110591e+26
     0.383033  3.084111e+26
     0.387289  2.870044e+26
     0.391546  2.979001e+26
     0.395802  3.202430e+26
     0.400059  3.756392e+26
     0.404315  5.080641e+26
     0.408572  4.936622e+26
     0.412829  4.797437e+26
     0.417085  4.881101e+26
     0.421342  4.928005e+26
     0.425598  4.842132e+26
     0.429855  4.623549e+26
     0.434111  4.388303e+26
     0.438368  4.799426e+26
     0.442625  5.215221e+26
     0.446881  5.503158e+26
     0.451138  5.667852e+26
     0.455394  5.778728e+26
     0.459651  5.847209e+26
     0.463907  5.847168e+26
     0.468164  5.751123e+26
     0.472421  5.686740e+26
     0.476677  5.854323e+26
     0.480934  5.906315e+26
     0.485190  5.566704e+26
     0.489447  5.475148e+26
     0.493703  5.545563e+26
     0.497960  5.553121e+26
     0.502217  5.366418e+26
     0.506473  5.445646e+26
     0.510730  5.440282e+26
     0.514986  5.251232e+26
     0.519243  4.912311e+26
     0.523499  5.143422e+26
     0.527756  5.156466e+26
     0.532013  5.203017e+26
     0.536269  5.315071e+26
     0.540526  5.178671e+26
     0.544782  5.234656e+26
     0.549039  5.254065e+26
     0.553295  5.256470e+26
     0.557552  5.192320e+26
     0.561809  5.031471e+26
     0.566065  5.028875e+26
     0.570322  5.021631e+26
     0.574578  5.061643e+26
     0.578835  5.087062e+26
     0.583091  5.048210e+26
     0.587348  5.048152e+26
     0.591605  4.877408e+26
     0.595861  4.937825e+26
     0.600118  4.905360e+26
     0.604374  4.879310e+26
     0.608631  4.854150e+26
     0.612887  4.743088e+26
     0.617144  4.626788e+26
     0.621401  4.682586e+26
     0.625657  4.654807e+26
     0.629914  4.628291e+26
     0.634170  4.608053e+26
     0.638427  4.571772e+26
     0.642683  4.514035e+26
     0.646940  4.475814e+26
     0.651197  4.452081e+26
     0.655453  4.229469e+26
     0.659710  4.226610e+26
     0.663966  4.315669e+26
     0.668223  4.285346e+26
     0.672479  4.252567e+26
     0.676736  4.188906e+26
     0.680993  4.159260e+26
     0.685249  4.109892e+26
     0.689506  4.118513e+26
     0.693762  4.107918e+26
     0.698019  4.075614e+26
     0.702275  4.046230e+26
     0.706532  4.012109e+26
     0.710789  3.950327e+26
     0.715045  3.863686e+26
     0.719302  3.831108e+26
     0.723558  3.807847e+26
     0.727815  3.753709e+26
     0.732071  3.731994e+26
     0.736328  3.690646e+26
     0.740585  3.619993e+26
     0.744841  3.587952e+26
     0.749098  3.603690e+26
     0.753354  3.553640e+26
     0.757611  3.570854e+26
     0.761867  3.525811e+26
     0.766124  3.486206e+26
     0.770380  3.460052e+26
     0.774637  3.400336e+26
     0.778894  3.325246e+26
     0.783150  3.274893e+26
     0.787407  3.252863e+26
     0.791663  3.218413e+26
     0.795920  3.160547e+26
     0.800177  3.173424e+26
     0.804433  3.147738e+26
