# Data from Thekaekara (1973) via Davide Grassi 1/10/24
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
     0.120000  2.81230e+22
     0.140000  8.43690e+21
     0.150000  1.96861e+22
     0.160000  6.46829e+22
     0.170000  1.77175e+23
     0.180000  3.51537e+23
     0.190000  7.62133e+23
     0.200000  3.00916e+24
     0.210000  6.44016e+24
     0.220000  1.61707e+25
     0.225000  1.82518e+25
     0.230000  1.87580e+25
     0.235000  1.66769e+25
     0.240000  1.77175e+25
     0.245000  2.03329e+25
     0.250000  1.97986e+25
     0.255000  2.92479e+25
     0.260000  3.65599e+25
     0.265000  5.20275e+25
     0.270000  6.52453e+25
     0.275000  5.73709e+25
     0.280000  6.24330e+25
     0.285000  8.85874e+25
     0.290000  1.35553e+26
     0.295000  1.64238e+26
     0.300000  1.44552e+26
     0.305000  1.69582e+26
     0.310000  1.93767e+26
     0.315000  2.14860e+26
     0.320000  2.33421e+26
     0.325000  2.74199e+26
     0.330000  2.98104e+26
     0.335000  3.03728e+26
     0.340000  3.00916e+26
     0.345000  3.00916e+26
     0.350000  3.06541e+26
     0.355000  3.03728e+26
     0.360000  3.00916e+26
     0.365000  3.17790e+26
     0.370000  3.31851e+26
     0.375000  3.26227e+26
     0.380000  3.14977e+26
     0.385000  3.09353e+26
     0.390000  3.09353e+26
     0.395000  3.34664e+26
     0.400000  4.02159e+26
     0.405000  4.61217e+26
     0.410000  4.92152e+26
     0.415000  4.97777e+26
     0.420000  4.92152e+26
     0.425000  4.75278e+26
     0.430000  4.61217e+26
     0.435000  4.66842e+26
     0.440000  5.09026e+26
     0.445000  5.39961e+26
     0.450000  5.65272e+26
     0.455000  5.79334e+26
     0.460000  5.82146e+26
     0.465000  5.76521e+26
     0.470000  5.70897e+26
     0.475000  5.73709e+26
     0.480000  5.82146e+26
     0.485000  5.56835e+26
     0.490000  5.48398e+26
     0.495000  5.51211e+26
     0.500000  5.45586e+26
     0.505000  5.39961e+26
     0.510000  5.28712e+26
     0.515000  5.14651e+26
     0.520000  5.14651e+26
     0.525000  5.20275e+26
     0.530000  5.17463e+26
     0.535000  5.11838e+26
     0.540000  5.00589e+26
     0.545000  4.92152e+26
     0.550000  4.86528e+26
     0.555000  4.83715e+26
     0.560000  4.78091e+26
     0.565000  4.80903e+26
     0.570000  4.80903e+26
     0.575000  4.83715e+26
     0.580000  4.83715e+26
     0.585000  4.80903e+26
     0.590000  4.78091e+26
     0.595000  4.72466e+26
     0.600000  4.69654e+26
     0.605000  4.64029e+26
     0.610000  4.61217e+26
     0.620000  4.49968e+26
     0.630000  4.41531e+26
     0.640000  4.33094e+26
