# Data from Thuillier et al. (2003) solar spectrum
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
     0.199120  2.07547e+24
     0.199480  2.10922e+24
     0.199840  2.15984e+24
     0.200200  2.19078e+24
     0.200560  2.23015e+24
     0.200920  2.27233e+24
     0.201290  2.35389e+24
     0.201650  2.42701e+24
     0.202010  2.46357e+24
     0.202370  2.47482e+24
     0.202730  2.52263e+24
     0.203090  2.63231e+24
     0.203450  2.73074e+24
     0.203810  2.85448e+24
     0.204170  2.95291e+24
     0.204530  3.06540e+24
     0.204890  3.13290e+24
     0.205240  3.14133e+24
     0.205600  3.13571e+24
     0.205960  3.14414e+24
     0.206320  3.22289e+24
     0.206680  3.37194e+24
     0.207040  3.56880e+24
     0.207400  3.73754e+24
     0.207750  3.87815e+24
     0.208110  4.05814e+24
     0.208470  4.37874e+24
     0.208830  4.92995e+24
     0.209190  5.59646e+24
     0.209540  6.36703e+24
     0.209900  7.15729e+24
     0.210260  7.80130e+24
     0.210610  8.33001e+24
     0.210970  8.84185e+24
     0.211330  9.68835e+24
     0.211680  1.02002e+25
     0.212040  1.02874e+25
     0.212400  9.65179e+24
     0.212750  9.24120e+24
     0.213110  9.17089e+24
     0.213460  9.72772e+24
     0.213820  1.05292e+25
     0.214170  1.14770e+25
     0.214530  1.19663e+25
     0.214880  1.18679e+25
     0.215240  1.13167e+25
     0.215590  1.08583e+25
     0.215950  1.03746e+25
     0.216300  1.00540e+25
     0.216660  9.74179e+24
     0.217010  9.63492e+24
     0.217370  1.01383e+25
     0.217720  1.13926e+25
     0.218070  1.27284e+25
     0.218430  1.33753e+25
     0.218780  1.34765e+25
     0.219130  1.35581e+25
     0.219490  1.39715e+25
     0.219840  1.46549e+25
     0.220190  1.48067e+25
     0.220540  1.41262e+25
     0.220900  1.27256e+25
     0.221250  1.16766e+25
     0.221600  1.17610e+25
     0.221950  1.27987e+25
     0.222310  1.39349e+25
     0.222660  1.50626e+25
     0.223010  1.65672e+25
     0.223360  1.81055e+25
     0.223710  1.87468e+25
     0.224060  1.83305e+25
     0.224410  1.74700e+25
     0.224760  1.68850e+25
     0.225110  1.62607e+25
     0.225470  1.54367e+25
     0.225820  1.42865e+25
     0.226170  1.29647e+25
     0.226520  1.15304e+25
     0.226870  1.04533e+25
     0.227220  1.04252e+25
     0.227560  1.15670e+25
     0.227910  1.33359e+25
     0.228260  1.46521e+25
     0.228610  1.50120e+25
     0.228960  1.46745e+25
     0.229310  1.40108e+25
     0.229660  1.35243e+25
     0.230010  1.38252e+25
     0.230360  1.46267e+25
     0.230700  1.51161e+25
     0.231050  1.49417e+25
     0.231400  1.43371e+25
     0.231750  1.44552e+25
     0.232090  1.49305e+25
     0.232440  1.51273e+25
     0.232790  1.44918e+25
     0.233140  1.37043e+25
     0.233480  1.27734e+25
     0.233830  1.19663e+25
     0.234180  1.10720e+25
     0.234520  1.08808e+25
     0.234870  1.18173e+25
     0.235220  1.34821e+25
     0.235560  1.45789e+25
     0.235910  1.45058e+25
     0.236250  1.38027e+25
     0.236600  1.36677e+25
     0.236940  1.39996e+25
     0.237630  1.37831e+25
     0.237980  1.27284e+25
     0.238320  1.17751e+25
     0.238670  1.20732e+25
     0.239010  1.25625e+25
     0.239360  1.27931e+25
     0.239700  1.22700e+25
     0.240050  1.17357e+25
     0.240390  1.13335e+25
     0.240730  1.11451e+25
     0.241080  1.15642e+25
     0.241420  1.31897e+25
     0.241760  1.56757e+25
     0.242110  1.79593e+25
     0.242450  1.88986e+25
     0.243140  1.92698e+25
     0.243480  1.87861e+25
     0.243820  1.84430e+25
     0.244160  1.82546e+25
     0.244500  1.76471e+25
     0.246210  1.31615e+25
     0.246550  1.35384e+25
     0.246890  1.42921e+25
     0.247240  1.50092e+25
     0.247580  1.51386e+25
     0.247920  1.45424e+25
     0.248260  1.34315e+25
     0.248600  1.23150e+25
     0.248940  1.22560e+25
     0.249280  1.35524e+25
     0.249620  1.56082e+25
     0.249960  1.70059e+25
     0.250300  1.71409e+25
     0.250640  1.62888e+25
     0.250970  1.51020e+25
     0.251310  1.38759e+25
     0.251650  1.25513e+25
     0.251990  1.16795e+25
     0.252330  1.13476e+25
     0.252670  1.17385e+25
     0.253010  1.25063e+25
     0.253340  1.35974e+25
     0.253680  1.45705e+25
     0.254020  1.53214e+25
     0.254360  1.58388e+25
     0.254700  1.68625e+25
     0.255030  1.85696e+25
     0.255370  2.10219e+25
     0.256040  2.49029e+25
     0.256380  2.68040e+25
     0.256720  3.00606e+25
     0.257050  3.29263e+25
     0.257390  3.48415e+25
     0.257730  3.56486e+25
     0.258060  3.58230e+25
     0.258400  3.58202e+25
     0.258730  3.51396e+25
     0.259070  3.38460e+25
     0.259400  3.08762e+25
     0.259740  2.79795e+25
