# Ups And Test spectrum
# Wavelength (microns)  Spectral luminosity (W micron-1)
       1
  1.14095e+06
     0.465000  2.11108e+27
     0.565000  1.77969e+27
     0.600000  1.66648e+27
     0.608571  1.62426e+27
     0.617265  1.57648e+27
     0.626083  1.53477e+27
     0.635027  1.50421e+27
     0.644099  1.47641e+27
     0.653301  1.42016e+27
     0.661000  1.43280e+27
     0.662634  1.41925e+27
     0.672100  1.41333e+27
     0.681701  1.39750e+27
     0.691440  1.36062e+27
     0.701317  1.32007e+27
     0.711336  1.29157e+27
     0.721000  1.25523e+27
     0.721498  1.24661e+27
     0.731805  1.21675e+27
     0.742260  1.18517e+27
     0.752863  1.17263e+27
     0.763619  1.14016e+27
     0.774527  1.09019e+27
     0.785592  1.06192e+27
     0.796815  1.03846e+27
     0.808198  1.02002e+27
     0.819744  9.88576e+26
     0.831454  9.64185e+26
     0.843332  9.27023e+26
     0.855380  8.68787e+26
     0.867599  8.42397e+26
     0.879994  8.38092e+26
     0.883000  8.36492e+26
     0.892565  8.35495e+26
     0.905316  8.11534e+26
     0.918249  7.98070e+26
     0.931367  7.60896e+26
     0.944672  7.32244e+26
     0.958167  7.33499e+26
     0.971855  7.29276e+26
