################ C2H2 FUV Absorption Cross Section  ####################
Source Smith et al. (1991), interpolated to 0.01 nm up to 190 nm
Source Benilian et al. (2000), interpolated to 0.01 nm above and including 190 nm
 
 COLUMN 1:      vacuum wavelength (nm) 
 COLUMN 2:      cross section (cm^2/molecule)   @195K/173K
 COLUMN 3:      cross section (cm^2/molecule)   @295K/293K
 
DATE OF FILE CREATION: 11.09.2018 - Henrik Melin
 
NUMBER OF LINES: 5000
      140.000  2.79618e-18  2.79618e-18
      140.010  2.74424e-18  2.74424e-18
      140.020  2.74851e-18  2.74851e-18
      140.030  2.75112e-18  2.75112e-18
      140.040  2.74726e-18  2.74726e-18
      140.050  2.70690e-18  2.70690e-18
      140.060  2.60365e-18  2.60365e-18
      140.070  2.74474e-18  2.74474e-18
      140.080  2.64513e-18  2.64513e-18
      140.090  2.60304e-18  2.60304e-18
      140.100  2.53138e-18  2.53138e-18
      140.110  2.11895e-18  2.11895e-18
      140.120  2.07054e-18  2.07054e-18
      140.130  2.16973e-18  2.16973e-18
      140.140  2.14483e-18  2.14483e-18
      140.150  2.26353e-18  2.26353e-18
      140.160  2.32247e-18  2.32247e-18
      140.170  2.40651e-18  2.40651e-18
      140.180  2.50620e-18  2.50620e-18
      140.190  2.59182e-18  2.59182e-18
      140.200  2.64852e-18  2.64852e-18
      140.210  2.71758e-18  2.71758e-18
      140.220  2.65988e-18  2.65988e-18
      140.230  2.64124e-18  2.64124e-18
      140.240  2.67546e-18  2.67546e-18
      140.250  2.61483e-18  2.61483e-18
      140.260  2.60188e-18  2.60188e-18
      140.270  2.58191e-18  2.58191e-18
      140.280  2.67200e-18  2.67200e-18
      140.290  2.71931e-18  2.71931e-18
      140.300  2.83765e-18  2.83765e-18
      140.310  2.93636e-18  2.93636e-18
      140.320  3.04007e-18  3.04007e-18
      140.330  3.18047e-18  3.18047e-18
      140.340  3.36924e-18  3.36924e-18
      140.350  3.43252e-18  3.43252e-18
      140.360  3.63050e-18  3.63050e-18
      140.370  3.68885e-18  3.68885e-18
      140.380  3.78534e-18  3.78534e-18
      140.390  3.78723e-18  3.78723e-18
      140.400  3.89515e-18  3.89515e-18
      140.410  4.00300e-18  4.00300e-18
      140.420  4.09154e-18  4.09154e-18
      140.430  4.23516e-18  4.23516e-18
      140.440  4.40065e-18  4.40065e-18
      140.450  4.42600e-18  4.42600e-18
      140.460  4.48960e-18  4.48960e-18
      140.470  4.49470e-18  4.49470e-18
      140.480  4.36591e-18  4.36591e-18
      140.490  4.25881e-18  4.25881e-18
      140.500  4.18279e-18  4.18279e-18
      140.510  4.06488e-18  4.06488e-18
      140.520  4.09916e-18  4.09916e-18
      140.530  4.01400e-18  4.01400e-18
      140.540  3.83954e-18  3.83954e-18
      140.550  3.83847e-18  3.83847e-18
      140.560  3.77200e-18  3.77200e-18
