################ NH3 FUV Absorption Cross Section  ####################
Source Liang et al. (2007), interpolated to 0.01 nm
 
 COLUMN 1:      vacuum wavelength (nm) 
 COLUMN 2:      cross section (cm^2/molecule)   @300
 
DATE OF FILE CREATION: 11.09.2018 - Henrik Melin
 
NUMBER OF LINES: 8601
      140.000  8.93128e-18
      140.010  8.44481e-18
      140.020  7.95759e-18
      140.030  7.60381e-18
      140.040  7.25004e-18
      140.050  6.95862e-18
      140.060  6.66765e-18
      140.070  6.46349e-18
      140.080  6.25964e-18
      140.090  5.94194e-18
      140.100  5.62376e-18
      140.110  5.57898e-18
      140.120  5.53421e-18
      140.130  5.26313e-18
      140.140  4.99246e-18
      140.150  4.78832e-18
      140.160  4.58386e-18
      140.170  4.65287e-18
      140.180  4.72189e-18
      140.190  4.72048e-18
      140.200  4.71908e-18
      140.210  4.44164e-18
      140.220  4.16462e-18
      140.230  3.96291e-18
      140.240  3.76090e-18
      140.250  3.96313e-18
      140.260  4.16536e-18
      140.270  3.75231e-18
      140.280  3.33988e-18
      140.290  3.46761e-18
      140.300  3.59554e-18
      140.310  3.50820e-18
      140.320  3.42072e-18
      140.330  3.37299e-18
      140.340  3.32525e-18
      140.350  3.40482e-18
      140.360  3.48426e-18
      140.370  4.36625e-18
      140.380  5.24959e-18
      140.390  4.67252e-18
      140.400  4.09546e-18
      140.410  3.96488e-18
      140.420  3.83449e-18
      140.430  4.21074e-18
      140.440  4.58756e-18
      140.450  4.21862e-18
      140.460  3.84912e-18
      140.470  3.63070e-18
      140.480  3.41229e-18
      140.490  3.47048e-18
      140.500  3.52859e-18
      140.510  3.20041e-18
      140.520  2.87173e-18
      140.530  3.31343e-18
      140.540  3.75514e-18
      140.550  3.28951e-18
      140.560  2.82459e-18
      140.570  2.95658e-18
      140.580  3.08837e-18
      140.590  2.92136e-18
      140.600  2.75410e-18
      140.610  2.74760e-18
      140.620  2.74110e-18
      140.630  2.82924e-18
      140.640  2.91725e-18
      140.650  2.98731e-18
      140.660  3.05748e-18
      140.670  2.48795e-18
      140.680  1.91843e-18
      140.690  2.10226e-18
      140.700  2.28580e-18
      140.710  2.23456e-18
      140.720  2.18339e-18
      140.730  2.14839e-18
      140.740  2.11334e-18
      140.750  2.20947e-18
      140.760  2.30560e-18
      140.770  2.21346e-18
      140.780  2.12147e-18
      140.790  2.03546e-18
      140.800  1.94931e-18
      140.810  2.14600e-18
      140.820  2.34299e-18
      140.830  2.30154e-18
      140.840  2.26009e-18
      140.850  2.42158e-18
      140.860  2.58283e-18
      140.870  2.78498e-18
      140.880  2.98744e-18
      140.890  3.33671e-18
      140.900  3.68598e-18
      140.910  3.76266e-18
      140.920  3.83922e-18
      140.930  3.89526e-18
      140.940  3.95138e-18
      140.950  3.99080e-18
      140.960  4.03029e-18
      140.970  3.90889e-18
      140.980  3.78750e-18
      140.990  4.42882e-18
      141.000  5.06916e-18
      141.010  4.76837e-18
      141.020  4.46712e-18
      141.030  4.57721e-18
      141.040  4.68731e-18
      141.050  5.05555e-18
      141.060  5.42323e-18
      141.070  5.68085e-18
      141.080  5.93808e-18
      141.090  5.68056e-18
      141.100  5.42264e-18
      141.110  5.33375e-18
      141.120  5.24486e-18
      141.130  4.88179e-18
      141.140  4.51928e-18
      141.150  4.27962e-18
      141.160  4.03960e-18
      141.170  3.67193e-18
      141.180  3.30427e-18
      141.190  3.50222e-18
      141.200  3.69987e-18
      141.210  3.58629e-18
      141.220  3.47288e-18
      141.230  3.45398e-18
      141.240  3.43505e-18
      141.250  3.26127e-18
      141.260  3.08748e-18
      141.270  2.99668e-18
      141.280  2.90601e-18
      141.290  2.92026e-18
      141.300  2.93454e-18
      141.310  2.70433e-18
      141.320  2.47377e-18
      141.330  2.39154e-18
      141.340  2.30930e-18
      141.350  2.20932e-18
      141.360  2.10950e-18
      141.370  2.10322e-18
      141.380  2.09694e-18
      141.390  2.08253e-18
      141.400  2.06812e-18
      141.410  2.08698e-18
      141.420  2.10581e-18
      141.430  2.15830e-18
      141.440  2.21088e-18
      141.450  2.34828e-18
      141.460  2.48589e-18
      141.470  2.69950e-18
      141.480  2.91311e-18
      141.490  3.69419e-18
      141.500  4.47407e-18
      141.510  5.30305e-18
      141.520  6.13329e-18
      141.530  7.41133e-18
      141.540  8.68937e-18
      141.550  1.10136e-17
      141.560  1.33343e-17
      141.570  1.53684e-17
      141.580  1.73993e-17
      141.590  1.71808e-17
      141.600  1.69619e-17
      141.610  1.66025e-17
