################ PH3 FUV Absorption Cross Section  ####################
Source Chen et al. (1991), interpolated to 1 nm
 
 COLUMN 1:      vacuum wavelength (nm) 
 COLUMN 2:      cross section (cm^2/molecule)   @155
 COLUMN 3:      cross section (cm^2/molecule)   @295
 
DATE OF FILE CREATION: 11.09.2018 - Henrik Melin
 
NUMBER OF LINES: 70
      130.000  5.05747e-17  4.79000e-17
      131.000  4.32433e-17  4.58000e-17
      132.000  4.01804e-17  4.37000e-17
      133.000  4.17628e-17  4.00000e-17
      134.000  3.75783e-17  3.63000e-17
      135.000  3.76954e-17  3.47000e-17
      136.000  3.14316e-17  3.31000e-17
      137.000  3.26536e-17  3.39000e-17
      138.000  3.37845e-17  3.47000e-17
      139.000  3.31530e-17  3.55000e-17
      140.000  3.66794e-17  3.63000e-17
      141.000  3.31522e-17  3.63000e-17
      142.000  3.03957e-17  3.63000e-17
      143.000  3.48866e-17  3.32500e-17
      144.000  3.36284e-17  3.02000e-17
      145.000  4.09380e-17  2.65500e-17
      146.000  2.94481e-17  2.29000e-17
      147.000  2.68614e-17  1.93500e-17
      148.000  2.27478e-17  1.58000e-17
      149.000  1.72869e-17  1.29000e-17
      150.000  1.61083e-17  1.00000e-17
      151.000  1.08355e-17  8.79500e-18
      152.000  7.96071e-18  7.59000e-18
      153.000  8.88454e-18  6.67000e-18
      154.000  6.83626e-18  5.75000e-18
      155.000  5.68900e-18  5.50000e-18
      156.000  5.67930e-18  5.75000e-18
      157.000  7.37724e-18  6.33500e-18
      158.000  8.94882e-18  6.92000e-18
      159.000  8.41250e-18  7.81500e-18
      160.000  9.20835e-18  8.71000e-18
      161.000  1.09775e-17  9.85500e-18
      162.000  1.22392e-17  1.10000e-17
      163.000  1.34183e-17  1.21000e-17
      164.000  1.44194e-17  1.32000e-17
      165.000  1.60814e-17  1.43500e-17
      166.000  1.72295e-17  1.55000e-17
      167.000  1.86559e-17  1.64500e-17
      168.000  2.00161e-17  1.74000e-17
      169.000  2.11945e-17  1.86500e-17
      170.000  2.23574e-17  1.99000e-17
      171.000  2.34718e-17  2.09000e-17
      172.000  2.45853e-17  2.19000e-17
      173.000  2.56946e-17  2.29500e-17
      174.000  2.67652e-17  2.40000e-17
      175.000  2.77329e-17  2.47500e-17
      176.000  2.83282e-17  2.55000e-17
      177.000  2.88222e-17  2.61500e-17
      178.000  2.91296e-17  2.68000e-17
      179.000  2.93909e-17  2.71500e-17
      180.000  2.96523e-17  2.75000e-17
      181.000  2.96067e-17  2.69000e-17
      182.000  2.93777e-17  2.63000e-17
      183.000  2.91488e-17  2.51500e-17
      184.000  2.86690e-17  2.40000e-17
      185.000  2.77233e-17  2.30000e-17
      186.000  2.65125e-17  2.20000e-17
      187.000  2.50960e-17  2.05500e-17
      188.000  2.36648e-17  1.91000e-17
      189.000  2.20593e-17  1.78500e-17
      190.000  2.04539e-17  1.66000e-17
      191.000  1.85778e-17  1.52000e-17
      192.000  1.66151e-17  1.38000e-17
      193.000  1.45903e-17  1.26500e-17
      194.000  1.31707e-17  1.15000e-17
      195.000  1.17425e-17  1.03100e-17
      196.000  9.76397e-18  9.12000e-18
      197.000  8.52751e-18  7.86500e-18
      198.000  7.15957e-18  6.61000e-18
      199.000  6.08757e-18  5.58000e-18
      200.000  4.55000e-18  4.55000e-18
      201.000  3.78500e-18  3.78500e-18
      202.000  3.02000e-18  3.02000e-18
      203.000  2.55500e-18  2.55500e-18
      204.000  2.09000e-18  2.09000e-18
      205.000  1.73500e-18  1.73500e-18
      206.000  1.38000e-18  1.38000e-18
      207.000  1.10600e-18  1.10600e-18
      208.000  8.32000e-19  8.32000e-19
      209.000  6.55500e-19  6.55500e-19
      210.000  4.79000e-19  4.79000e-19
      211.000  3.90500e-19  3.90500e-19
      212.000  3.02000e-19  3.02000e-19
      213.000  2.44000e-19  2.44000e-19
      214.000  1.86000e-19  1.86000e-19
      215.000  1.45500e-19  1.45500e-19
      216.000  1.05000e-19  1.05000e-19
      217.000  8.40500e-20  8.40500e-20
      218.000  6.31000e-20  6.31000e-20
      219.000  4.97000e-20  4.97000e-20
      220.000  3.63000e-20  3.63000e-20
      221.000  2.81500e-20  2.81500e-20
      222.000  2.00000e-20  2.00000e-20
      223.000  1.60000e-20  1.60000e-20
      224.000  1.20000e-20  1.20000e-20
      225.000  9.46000e-21  9.46000e-21
      226.000  6.92000e-21  6.92000e-21
      227.000  5.27500e-21  5.27500e-21
      228.000  3.63000e-21  3.63000e-21
      229.000  2.72500e-21  2.72500e-21
      230.000  1.82000e-21  1.82000e-21
