CARBON DIOXIDE LINE WIDTHS.  
                             
SOURCE, YAMOMOTO, G., TANAKA, M., & AOKI, T. 1969.                              
        J.Q.S.R.T. 9, 371-382.                                                  
                                                          
PROCESSED CO2 LINE WIDTHS.   
                             
A(T) = A(T0)*(T0/T)**N, T0=300K.                                                
                             
2M = 2J (P BRANCH), = 2J+1 (Q BRANCH), = 2J+2 (R BRANCH).                       
                             
DATA FORMAT, I4,2(F12.4,F12.3),2F10.6.                                          
                             
   2M   A(CO2-CO2)  N(CO2-CO2)  A(CO2-N2)   N(CO2-N2)   E(CO2)    E(N2)         
                             
   1      0.1284       0.735      0.0862       0.747  0.000062  0.000017        
   2      0.1266       0.733      0.0850       0.745  0.000048  0.000024        
   3      0.1247       0.732      0.0838       0.743  0.000033  0.000030        
   4      0.1228       0.730      0.0826       0.742  0.000019  0.000037        
   5      0.1209       0.728      0.0814       0.740  0.000004  0.000044        
   6      0.1191       0.726      0.0802       0.738  0.000010  0.000051        
   7      0.1172       0.724      0.0790       0.736  0.000025  0.000057        
   8      0.1153       0.722      0.0778       0.734  0.000039  0.000064        
   9      0.1148       0.718      0.0775       0.730  0.000062  0.000060        
  10      0.1142       0.714      0.0773       0.726  0.000085  0.000057        
  11      0.1137       0.709      0.0770       0.723  0.000108  0.000053        
  12      0.1131       0.705      0.0767       0.719  0.000131  0.000049        
  13      0.1126       0.701      0.0765       0.714  0.000141  0.000064        
  14      0.1122       0.696      0.0763       0.709  0.000150  0.000080        
  15      0.1117       0.692      0.0760       0.704  0.000160  0.000095        
  16      0.1112       0.687      0.0758       0.699  0.000169  0.000111        
  17      0.1107       0.684      0.0756       0.694  0.000133  0.000127        
  18      0.1102       0.681      0.0753       0.689  0.000097  0.000143        
  19      0.1098       0.678      0.0750       0.683  0.000060  0.000160        
  20      0.1093       0.675      0.0748       0.678  0.000024  0.000176        
  21      0.1089       0.675      0.0745       0.672  0.000015  0.000163        
  22      0.1084       0.674      0.0742       0.667  0.000006  0.000150        
